variant;run;score;time_ms;avg_iterations;states
100000_Restarts;1;23359;107654.381;13.44042;207
100000_Restarts;2;23351;99073.476;13.43069;180
100000_Restarts;3;23357;97508.362;13.44201;318
100000_Restarts;4;23351;98090.175;13.44233;170
100000_Restarts;5;23330;98912.100;13.42611;163
100000_Restarts;6;23341;102574.289;13.41484;260
100000_Restarts;7;23374;104490.549;13.43189;94
100000_Restarts;8;23349;107571.554;13.43316;261
100000_Restarts;9;23339;100909.088;13.43826;245
100000_Restarts;10;23336;99284.629;13.4433;148
100000_Restarts;11;23343;101992.432;13.45813;292
100000_Restarts;12;23347;99819.178;13.4446;282
100000_Restarts;13;23339;96689.638;13.44957;202
100000_Restarts;14;23346;100858.680;13.44155;90
100000_Restarts;15;23349;104009.839;13.44887;163
100000_Restarts;16;23357;102555.766;13.4399;189
100000_Restarts;17;23351;107232.783;13.43502;209
100000_Restarts;18;23332;109222.604;13.45037;197
100000_Restarts;19;23348;121050.580;13.45613;215
100000_Restarts;20;23337;123170.000;13.439;164
100000_Restarts;21;23349;130408.818;13.42211;287
100000_Restarts;22;23365;133600.302;13.45267;204
100000_Restarts;23;23324;135899.198;13.44609;146
100000_Restarts;24;23357;134843.449;13.42787;131
100000_Restarts;25;23342;138738.471;13.43068;139
100000_Restarts;26;23342;144321.643;13.43165;154
100000_Restarts;27;23349;140260.590;13.42271;277
100000_Restarts;28;23347;133791.079;13.44003;184
100000_Restarts;29;23345;139059.632;13.43597;178
100000_Restarts;30;23324;128729.809;13.45008;206
