variant;run;score;time_ms;avg_iterations;states
100_RestartsFast;1;17135;2822.871;25.75;2281
100_RestartsFast;2;17083;3062.425;25.34;2384
100_RestartsFast;3;17108;2902.756;25.09;2879
100_RestartsFast;4;17163;2300.812;24.83;2627
100_RestartsFast;5;17160;2401.785;25.22;2650
100_RestartsFast;6;17101;2416.383;25.24;1660
100_RestartsFast;7;17149;2772.709;25.77;3404
100_RestartsFast;8;17056;2067.147;25.22;2329
100_RestartsFast;9;17186;2532.943;25.82;2287
100_RestartsFast;10;17071;2422.810;25.38;2229
100_RestartsFast;11;17077;2289.671;25.07;2453
100_RestartsFast;12;17154;2286.684;25.71;2260
100_RestartsFast;13;17120;2251.923;25.73;2247
100_RestartsFast;14;17069;2217.269;24.77;2309
100_RestartsFast;15;17141;2184.660;24.74;2011
100_RestartsFast;16;17117;2281.520;25.56;2240
100_RestartsFast;17;17094;2232.027;25.46;2960
100_RestartsFast;18;17125;2594.610;25.96;2929
100_RestartsFast;19;17119;2417.030;25.33;2993
100_RestartsFast;20;17052;3311.327;25.83;2049
100_RestartsFast;21;17162;2763.140;25.69;2404
100_RestartsFast;22;17108;3496.235;25.33;2039
100_RestartsFast;23;17177;2768.269;24.73;2260
100_RestartsFast;24;17116;2300.289;25.93;2280
100_RestartsFast;25;17067;2715.253;25.34;2766
100_RestartsFast;26;17064;1953.520;24.47;2147
100_RestartsFast;27;17159;2291.235;25.08;2517
100_RestartsFast;28;17051;2864.890;24.8;2003
100_RestartsFast;29;17098;2822.456;24.81;3033
100_RestartsFast;30;17092;2939.321;25.03;1667
