variant;run;score;time_ms;avg_iterations;states
20_SideSteps;1;23133;4168.062;33.0;108400
20_SideSteps;2;23114;3656.890;32.0;105374
20_SideSteps;3;23083;3710.472;32.0;105490
20_SideSteps;4;23191;3571.409;30.0;98993
20_SideSteps;5;23173;3785.340;32.0;105292
20_SideSteps;6;23127;4063.090;33.0;108638
20_SideSteps;7;23137;3913.600;31.0;102173
20_SideSteps;8;22940;3856.626;31.0;102100
20_SideSteps;9;22923;3732.385;30.0;98936
20_SideSteps;10;22872;6070.873;50.0;162198
20_SideSteps;11;23086;3794.159;33.0;108582
20_SideSteps;12;23110;3707.332;32.0;105505
20_SideSteps;13;22994;4013.426;33.0;108507
20_SideSteps;14;23217;4156.243;34.0;111843
20_SideSteps;15;22833;3819.959;33.0;108353
20_SideSteps;16;23033;3615.380;31.0;102201
20_SideSteps;17;23088;3837.991;33.0;108434
20_SideSteps;18;23108;3741.261;32.0;105221
20_SideSteps;19;23124;4170.603;33.0;108465
20_SideSteps;20;23328;3867.721;32.0;105352
20_SideSteps;21;23136;4144.582;33.0;108467
20_SideSteps;22;23127;3873.578;32.0;105291
20_SideSteps;23;23139;3703.824;32.0;105339
20_SideSteps;24;23268;3980.512;35.0;114780
20_SideSteps;25;23041;3543.264;30.0;98951
20_SideSteps;26;23010;3489.386;30.0;98808
20_SideSteps;27;23293;4041.616;35.0;114852
20_SideSteps;28;23221;3904.798;34.0;111675
20_SideSteps;29;23228;3891.177;33.0;108539
20_SideSteps;30;23016;3789.729;32.0;105277
