variant;run;score;time_ms;avg_iterations;states
5_Restarts;1;23191;18060.886;6.6;108638
5_Restarts;2;23110;17739.646;6.4;105505
5_Restarts;3;23217;18433.164;6.4;105221
5_Restarts;4;23328;18594.579;7.0;114780
5_Restarts;5;23293;18653.730;6.4;105277
5_Restarts;6;23239;18909.149;6.4;105419
5_Restarts;7;23222;18726.439;6.2;102158
5_Restarts;8;23275;19185.226;6.8;111741
5_Restarts;9;23268;19508.257;7.0;114693
5_Restarts;10;23246;18747.566;6.0;98844
5_Restarts;11;23206;19396.434;6.6;108486
5_Restarts;12;23135;19672.636;6.6;108570
5_Restarts;13;23220;19453.364;6.4;105223
5_Restarts;14;23235;20698.279;6.8;111784
5_Restarts;15;23214;20519.481;6.4;105244
5_Restarts;16;23200;21689.838;6.6;108499
5_Restarts;17;23191;20217.438;6.4;105391
5_Restarts;18;23165;20324.112;6.8;111494
5_Restarts;19;23214;20639.967;6.8;111720
5_Restarts;20;23184;20222.200;6.4;105136
5_Restarts;21;23215;19917.633;7.0;114680
5_Restarts;22;23276;20237.660;6.4;105240
5_Restarts;23;23214;20296.422;6.4;105225
5_Restarts;24;23122;20521.624;6.6;108506
5_Restarts;25;23280;20372.374;6.4;105180
5_Restarts;26;23228;19575.783;6.8;111621
5_Restarts;27;23216;20406.453;7.2;117999
5_Restarts;28;23255;19846.758;6.4;105381
5_Restarts;29;23190;20207.866;6.4;105226
5_Restarts;30;23167;20393.802;7.0;114805
