variant;run;score;time_ms;iterations;states
firstChoice;1;23300;13752.068;86.0;0
firstChoice;2;23355;13844.072;96.0;0
firstChoice;3;23331;12632.016;89.0;0
firstChoice;4;23303;14693.752;77.0;0
firstChoice;5;23350;13749.045;70.0;0
firstChoice;6;23309;11823.979;87.0;0
firstChoice;7;23325;17234.261;70.0;0
firstChoice;8;23316;13057.049;89.0;0
firstChoice;9;23247;15203.978;78.0;0
firstChoice;10;23322;10398.118;85.0;0
firstChoice;11;23303;26753.284;84.0;0
firstChoice;12;23342;14410.495;69.0;0
firstChoice;13;23289;21683.395;76.0;0
firstChoice;14;23323;17741.267;83.0;0
firstChoice;15;23303;49432.680;79.0;0
firstChoice;16;23329;18306.338;83.0;0
firstChoice;17;23331;24189.929;83.0;0
firstChoice;18;23351;24314.242;98.0;0
firstChoice;19;23315;10959.673;59.0;0
firstChoice;20;23309;15457.560;79.0;0
firstChoice;21;23335;16517.017;80.0;0
firstChoice;22;23288;15860.584;78.0;0
firstChoice;23;23359;14860.057;93.0;0
firstChoice;24;23357;18886.192;66.0;0
firstChoice;25;23363;22468.056;78.0;0
firstChoice;26;23327;21045.176;79.0;0
firstChoice;27;23351;24077.151;83.0;0
firstChoice;28;23365;14646.534;93.0;0
firstChoice;29;23314;33382.544;97.0;0
firstChoice;30;23277;22274.374;67.0;0
