variant;run;score;time_ms;iterations;states
firstChoiceSwaps;1;23342;205.890;73.0;0
firstChoiceSwaps;2;23239;73.141;65.0;0
firstChoiceSwaps;3;23304;74.947;74.0;0
firstChoiceSwaps;4;23301;67.581;46.0;0
firstChoiceSwaps;5;23268;53.231;71.0;0
firstChoiceSwaps;6;23200;44.576;52.0;0
firstChoiceSwaps;7;23367;91.683;51.0;0
firstChoiceSwaps;8;23344;39.907;62.0;0
firstChoiceSwaps;9;23325;36.643;60.0;0
firstChoiceSwaps;10;23295;79.013;68.0;0
firstChoiceSwaps;11;23280;36.756;68.0;0
firstChoiceSwaps;12;23341;51.388;69.0;0
firstChoiceSwaps;13;23308;87.482;62.0;0
firstChoiceSwaps;14;23342;54.947;63.0;0
firstChoiceSwaps;15;23293;37.063;63.0;0
firstChoiceSwaps;16;23358;63.035;74.0;0
firstChoiceSwaps;17;23327;39.106;71.0;0
firstChoiceSwaps;18;23387;98.145;65.0;0
firstChoiceSwaps;19;23341;54.134;57.0;0
firstChoiceSwaps;20;23289;25.597;62.0;0
firstChoiceSwaps;21;23334;66.867;67.0;0
firstChoiceSwaps;22;23324;67.994;64.0;0
firstChoiceSwaps;23;23324;71.370;80.0;0
firstChoiceSwaps;24;23326;70.124;65.0;0
firstChoiceSwaps;25;23292;27.974;63.0;0
firstChoiceSwaps;26;23303;26.909;64.0;0
firstChoiceSwaps;27;23293;35.148;69.0;0
firstChoiceSwaps;28;23280;53.169;73.0;0
firstChoiceSwaps;29;23317;63.575;79.0;0
firstChoiceSwaps;30;23263;44.109;50.0;0
