variant;run;score;time_ms;iterations;states
firstChoiceSwaps;1;23261;6081.413;90.0;0
firstChoiceSwaps;2;23345;18828.402;97.0;0
firstChoiceSwaps;3;23364;16552.103;102.0;0
firstChoiceSwaps;4;23356;11761.059;98.0;0
firstChoiceSwaps;5;23381;10192.789;100.0;0
firstChoiceSwaps;6;23326;13899.536;81.0;0
firstChoiceSwaps;7;23320;5822.390;94.0;0
firstChoiceSwaps;8;23360;12053.576;102.0;0
firstChoiceSwaps;9;23320;11747.032;95.0;0
firstChoiceSwaps;10;23328;11886.482;100.0;0
firstChoiceSwaps;11;23359;14326.381;104.0;0
firstChoiceSwaps;12;23333;8123.305;105.0;0
firstChoiceSwaps;13;23379;17538.039;103.0;0
firstChoiceSwaps;14;23318;9404.968;116.0;0
firstChoiceSwaps;15;23352;10848.434;114.0;0
firstChoiceSwaps;16;23347;15330.935;96.0;0
firstChoiceSwaps;17;23347;18413.992;107.0;0
firstChoiceSwaps;18;23339;17871.021;106.0;0
firstChoiceSwaps;19;23374;21004.441;98.0;0
firstChoiceSwaps;20;23371;16142.701;106.0;0
firstChoiceSwaps;21;23329;7267.886;100.0;0
firstChoiceSwaps;22;23359;14011.909;105.0;0
firstChoiceSwaps;23;23356;9521.969;86.0;0
firstChoiceSwaps;24;23336;8874.045;110.0;0
firstChoiceSwaps;25;23360;9958.039;113.0;0
firstChoiceSwaps;26;23342;9315.276;90.0;0
firstChoiceSwaps;27;23361;9608.970;96.0;0
firstChoiceSwaps;28;23380;12655.898;102.0;0
firstChoiceSwaps;29;23304;13864.118;110.0;0
firstChoiceSwaps;30;23320;17549.266;89.0;0
