variant;run;score;time_ms;avg_iterations;states
firstChoice100_Restarts;1;23127;50032.981;117.16;0
firstChoice100_Restarts;2;23273;50003.347;119.0;0
firstChoice100_Restarts;3;23279;48770.425;118.39;0
firstChoice100_Restarts;4;23193;49783.668;116.65;0
firstChoice100_Restarts;5;23163;47749.450;117.29;0
firstChoice100_Restarts;6;23143;50144.425;118.62;0
firstChoice100_Restarts;7;23153;50323.485;117.58;0
firstChoice100_Restarts;8;23086;49032.346;115.83;0
firstChoice100_Restarts;9;23133;48936.366;118.62;0
firstChoice100_Restarts;10;23145;47714.996;118.31;0
firstChoice100_Restarts;11;23096;48209.507;116.12;0
firstChoice100_Restarts;12;23094;47769.674;115.94;0
firstChoice100_Restarts;13;23153;50585.235;118.25;0
firstChoice100_Restarts;14;23164;48958.629;118.44;0
firstChoice100_Restarts;15;23167;48235.491;116.94;0
firstChoice100_Restarts;16;23180;49006.184;117.61;0
firstChoice100_Restarts;17;23150;47033.875;118.13;0
firstChoice100_Restarts;18;23195;50915.999;118.17;0
firstChoice100_Restarts;19;23147;52487.634;116.52;0
firstChoice100_Restarts;20;23134;51502.377;116.3;0
firstChoice100_Restarts;21;23106;51578.532;117.94;0
firstChoice100_Restarts;22;23155;48190.527;117.28;0
firstChoice100_Restarts;23;23180;52642.768;116.82;0
firstChoice100_Restarts;24;23165;45698.033;119.62;0
firstChoice100_Restarts;25;23168;45698.420;118.38;0
firstChoice100_Restarts;26;23115;44803.361;117.11;0
firstChoice100_Restarts;27;23145;46576.142;117.33;0
firstChoice100_Restarts;28;23186;44521.382;116.58;0
firstChoice100_Restarts;29;23221;44224.068;115.86;0
firstChoice100_Restarts;30;23172;46905.967;118.99;0
