variant;run;score;time_ms;iterations;states
beamSearch;1;23225;1117.661;0.0;0
beamSearch;2;23204;424.197;0.0;0
beamSearch;3;23136;305.980;0.0;0
beamSearch;4;23275;433.216;0.0;0
beamSearch;5;22950;377.519;0.0;0
beamSearch;6;23178;459.392;0.0;0
beamSearch;7;23180;333.086;0.0;0
beamSearch;8;23293;367.477;0.0;0
beamSearch;9;23253;320.681;0.0;0
beamSearch;10;23131;400.241;0.0;0
beamSearch;11;23210;378.920;0.0;0
beamSearch;12;22939;298.951;0.0;0
beamSearch;13;23267;387.606;0.0;0
beamSearch;14;23129;404.122;0.0;0
beamSearch;15;23251;388.952;0.0;0
beamSearch;16;23094;315.670;0.0;0
beamSearch;17;23131;423.603;0.0;0
beamSearch;18;23117;319.661;0.0;0
beamSearch;19;23150;397.423;0.0;0
beamSearch;20;23234;299.319;0.0;0
beamSearch;21;23191;343.188;0.0;0
beamSearch;22;23116;284.002;0.0;0
beamSearch;23;23238;371.561;0.0;0
beamSearch;24;23181;292.567;0.0;0
beamSearch;25;23058;305.010;0.0;0
beamSearch;26;22990;247.627;0.0;0
beamSearch;27;23160;401.438;0.0;0
beamSearch;28;23108;301.825;0.0;0
beamSearch;29;23006;310.539;0.0;0
beamSearch;30;23002;290.847;0.0;0
