variant;run;score;time_ms;iterations;states
simulatedAnnealing;1;20970;107584.875;1059.0;3400412
simulatedAnnealing;2;21097;105630.531;1059.0;3400412
simulatedAnnealing;3;20849;106347.963;1059.0;3400412
simulatedAnnealing;4;21044;113293.793;1059.0;3400412
simulatedAnnealing;5;21586;110226.027;1059.0;3400412
simulatedAnnealing;6;21548;107776.461;1059.0;3400412
simulatedAnnealing;7;21725;109385.157;1059.0;3400412
simulatedAnnealing;8;21331;110010.768;1059.0;3400412
simulatedAnnealing;9;21287;112825.276;1059.0;3400412
simulatedAnnealing;10;21251;108309.578;1059.0;3400412
simulatedAnnealing;11;20885;104137.593;1059.0;3400412
simulatedAnnealing;12;21041;105069.269;1059.0;3400412
simulatedAnnealing;13;21194;103152.921;1059.0;3400412
simulatedAnnealing;14;20785;101497.836;1059.0;3400412
simulatedAnnealing;15;21148;101542.294;1059.0;3400412
simulatedAnnealing;16;20708;103943.027;1059.0;3400412
simulatedAnnealing;17;20884;106209.329;1059.0;3400412
simulatedAnnealing;18;21816;101811.124;1059.0;3400412
simulatedAnnealing;19;21181;101557.528;1059.0;3400412
simulatedAnnealing;20;20960;101976.563;1059.0;3400412
simulatedAnnealing;21;20557;101491.291;1059.0;3400412
simulatedAnnealing;22;21357;101388.382;1059.0;3400412
simulatedAnnealing;23;20853;108712.762;1059.0;3400412
simulatedAnnealing;24;21318;104532.741;1059.0;3400412
simulatedAnnealing;25;21390;101495.485;1059.0;3400412
simulatedAnnealing;26;21390;107627.693;1059.0;3400412
simulatedAnnealing;27;21062;109524.403;1059.0;3400412
simulatedAnnealing;28;21349;108085.030;1059.0;3400412
simulatedAnnealing;29;20903;109458.799;1059.0;3400412
simulatedAnnealing;30;20869;107802.145;1059.0;3400412
