variant;run;score;time_ms;iterations;states
standard;1;22897;5292.763;32.0;105286
standard;2;23061;5179.492;32.0;105356
standard;3;23357;5332.238;35.0;114684
standard;4;23261;4786.487;32.0;105239
standard;5;22930;4517.966;31.0;101862
standard;6;23063;4882.915;30.0;98785
standard;7;22846;4266.499;29.0;95560
standard;8;23076;4509.676;31.0;101919
standard;9;23005;4778.401;32.0;105281
standard;10;23151;4872.590;33.0;108326
standard;11;23070;5189.079;33.0;108477
standard;12;23037;5086.020;32.0;105288
standard;13;22909;4577.182;31.0;101939
standard;14;22941;5202.687;32.0;105342
standard;15;23077;5647.232;34.0;111675
standard;16;23002;6195.865;35.0;114800
standard;17;23015;5451.696;36.0;117874
standard;18;23071;4911.801;33.0;108405
standard;19;22969;4356.861;30.0;98765
standard;20;22823;4222.453;29.0;95796
standard;21;23263;4721.820;32.0;105106
standard;22;23095;4797.979;33.0;108464
standard;23;23180;5016.633;34.0;111626
standard;24;22968;5113.665;30.0;98781
standard;25;23104;5530.906;34.0;111705
standard;26;23089;5324.126;33.0;108403
standard;27;23208;5005.103;31.0;102002
standard;28;23175;5557.170;32.0;105303
standard;29;23080;6184.170;32.0;105201
standard;30;23141;4887.699;33.0;108488
