variant;run;score;time_ms;iterations;states
standard;1;23091;4725.242;33.0;108477
standard;2;23106;5081.065;32.0;105199
standard;3;23164;5270.940;34.0;111716
standard;4;23116;5292.036;32.0;105294
standard;5;23030;5079.660;32.0;105441
standard;6;23220;5960.533;34.0;111631
standard;7;23155;5187.184;34.0;111613
standard;8;23159;4577.362;33.0;108391
standard;9;23134;4233.415;30.0;98910
standard;10;23103;4461.134;32.0;105281
standard;11;23265;4669.916;34.0;111727
standard;12;23192;4761.585;34.0;111748
standard;13;23179;4601.345;33.0;108473
standard;14;23213;4559.151;33.0;108491
standard;15;23215;4390.975;32.0;105316
standard;16;23017;4420.533;32.0;105299
standard;17;23056;4591.431;33.0;108510
standard;18;23048;4323.209;31.0;102127
standard;19;23074;4675.386;34.0;111788
standard;20;23200;4748.018;34.0;111552
standard;21;23157;4540.978;33.0;108500
standard;22;23118;4561.170;32.0;105384
standard;23;23224;4667.130;33.0;108493
standard;24;22979;5618.047;34.0;111680
standard;25;22995;4571.611;33.0;108568
standard;26;23189;4301.272;31.0;102025
standard;27;23122;4503.397;33.0;108363
standard;28;23049;4712.516;34.0;111688
standard;29;23102;4648.338;34.0;111621
standard;30;23284;4363.250;32.0;105233
