variant;run;score;time_ms;iterations;states
standardFast;1;23091;187.684;33.0;4458
standardFast;2;23129;177.753;32.0;3694
standardFast;3;23048;208.335;33.0;4630
standardFast;4;23096;189.457;32.0;3932
standardFast;5;23030;206.323;32.0;4280
standardFast;6;23220;201.286;34.0;4124
standardFast;7;23121;225.998;33.0;4617
standardFast;8;23159;219.539;33.0;4311
standardFast;9;23105;217.122;32.0;4316
standardFast;10;23125;185.553;32.0;4034
standardFast;11;23265;279.802;34.0;4484
standardFast;12;23183;236.839;34.0;4557
standardFast;13;23179;219.972;33.0;4187
standardFast;14;23213;214.702;32.0;3911
standardFast;15;23215;212.120;32.0;4256
standardFast;16;22967;225.260;31.0;4045
standardFast;17;22976;219.864;32.0;4334
standardFast;18;23048;215.171;31.0;4038
standardFast;19;23025;220.640;32.0;4240
standardFast;20;23116;225.356;33.0;4461
standardFast;21;23157;202.376;33.0;3920
standardFast;22;23094;220.691;31.0;4187
standardFast;23;23181;219.169;33.0;4175
standardFast;24;22907;216.543;33.0;4094
standardFast;25;22995;229.980;33.0;4356
standardFast;26;23189;199.887;31.0;3599
standardFast;27;23062;198.368;32.0;3656
standardFast;28;23037;232.367;33.0;4705
standardFast;29;23192;235.026;34.0;4615
standardFast;30;23171;209.328;31.0;4034
