variant;run;score;time_ms;iterations;states
standardFast;1;23091;173.934;33.0;4458
standardFast;2;23129;164.587;32.0;3694
standardFast;3;23048;210.592;33.0;4630
standardFast;4;23096;176.311;32.0;3932
standardFast;5;23030;199.377;32.0;4280
standardFast;6;23220;188.085;34.0;4124
standardFast;7;23121;209.700;33.0;4617
standardFast;8;23159;184.226;33.0;4311
standardFast;9;23105;192.727;32.0;4316
standardFast;10;23125;191.440;32.0;4034
standardFast;11;23265;204.409;34.0;4484
standardFast;12;23183;221.280;34.0;4557
standardFast;13;23179;204.424;33.0;4187
standardFast;14;23213;180.150;32.0;3911
standardFast;15;23215;181.604;32.0;4256
standardFast;16;22967;187.269;31.0;4045
standardFast;17;22976;191.432;32.0;4334
standardFast;18;23048;169.498;31.0;4038
standardFast;19;23025;186.540;32.0;4240
standardFast;20;23116;200.952;33.0;4461
standardFast;21;23157;162.954;33.0;3920
standardFast;22;23094;179.827;31.0;4187
standardFast;23;23181;173.525;33.0;4175
standardFast;24;22907;171.077;33.0;4094
standardFast;25;22995;197.383;33.0;4356
standardFast;26;23189;176.813;31.0;3599
standardFast;27;23062;165.334;32.0;3656
standardFast;28;23037;207.250;33.0;4705
standardFast;29;23192;207.109;34.0;4615
standardFast;30;23171;173.036;31.0;4034
