variant;run;score;time_ms;iterations;states
temp1000shaved50Annealing;1;19204;1986.030;1839.0;5907332
temp1000shaved50Annealing;2;19161;1631.888;1839.0;5907332
temp1000shaved50Annealing;3;19190;1597.814;1839.0;5907332
temp1000shaved50Annealing;4;19205;1712.014;1839.0;5907332
temp1000shaved50Annealing;5;19205;1725.935;1839.0;5907332
temp1000shaved50Annealing;6;19204;1778.482;1839.0;5907332
temp1000shaved50Annealing;7;19065;1721.695;1839.0;5907332
temp1000shaved50Annealing;8;19193;1484.043;1839.0;5907332
temp1000shaved50Annealing;9;19030;1664.521;1839.0;5907332
temp1000shaved50Annealing;10;19149;1748.479;1839.0;5907332
temp1000shaved50Annealing;11;19070;1574.303;1839.0;5907332
temp1000shaved50Annealing;12;19042;1678.335;1839.0;5907332
temp1000shaved50Annealing;13;19181;1561.790;1839.0;5907332
temp1000shaved50Annealing;14;19171;1389.793;1839.0;5907332
temp1000shaved50Annealing;15;19181;1401.884;1839.0;5907332
temp1000shaved50Annealing;16;19015;1581.456;1839.0;5907332
temp1000shaved50Annealing;17;19204;1427.128;1839.0;5907332
temp1000shaved50Annealing;18;19195;1415.086;1839.0;5907332
temp1000shaved50Annealing;19;19213;1561.046;1839.0;5907332
temp1000shaved50Annealing;20;19213;1477.798;1839.0;5907332
temp1000shaved50Annealing;21;19192;1408.216;1839.0;5907332
temp1000shaved50Annealing;22;19170;1387.578;1839.0;5907332
temp1000shaved50Annealing;23;19050;1462.946;1839.0;5907332
temp1000shaved50Annealing;24;19161;1493.487;1839.0;5907332
temp1000shaved50Annealing;25;19070;1418.629;1839.0;5907332
temp1000shaved50Annealing;26;19169;1495.999;1839.0;5907332
temp1000shaved50Annealing;27;19170;1463.961;1839.0;5907332
temp1000shaved50Annealing;28;19204;1483.404;1839.0;5907332
temp1000shaved50Annealing;29;19032;1563.080;1839.0;5907332
temp1000shaved50Annealing;30;19070;1513.363;1839.0;5907332
