variant;run;score;time_ms;iterations;states
temp10shaved3Annealing;1;23095;12048.693;100.0;318186
temp10shaved3Annealing;2;22906;11140.591;100.0;318186
temp10shaved3Annealing;3;22784;10410.326;100.0;318186
temp10shaved3Annealing;4;23132;10423.055;100.0;318186
temp10shaved3Annealing;5;23122;10452.025;100.0;318186
temp10shaved3Annealing;6;23106;10410.349;100.0;318186
temp10shaved3Annealing;7;23075;10440.529;100.0;318186
temp10shaved3Annealing;8;23186;10433.694;100.0;318186
temp10shaved3Annealing;9;23020;10432.469;100.0;318186
temp10shaved3Annealing;10;23054;10422.754;100.0;318186
temp10shaved3Annealing;11;22804;10438.211;100.0;318186
temp10shaved3Annealing;12;22987;10439.011;100.0;318186
temp10shaved3Annealing;13;23139;10404.628;100.0;318186
temp10shaved3Annealing;14;23082;10439.740;100.0;318186
temp10shaved3Annealing;15;23074;10458.939;100.0;318186
temp10shaved3Annealing;16;23104;10446.276;100.0;318186
temp10shaved3Annealing;17;23084;10773.731;100.0;318186
temp10shaved3Annealing;18;22985;11234.824;100.0;318186
temp10shaved3Annealing;19;22974;11311.530;100.0;318186
temp10shaved3Annealing;20;23134;11319.039;100.0;318186
temp10shaved3Annealing;21;22965;11430.997;100.0;318186
temp10shaved3Annealing;22;23078;11222.408;100.0;318186
temp10shaved3Annealing;23;22940;11179.310;100.0;318186
temp10shaved3Annealing;24;22793;11186.920;100.0;318186
temp10shaved3Annealing;25;23062;11134.235;100.0;318186
temp10shaved3Annealing;26;23078;11109.227;100.0;318186
temp10shaved3Annealing;27;23080;11007.800;100.0;318186
temp10shaved3Annealing;28;23144;11088.992;100.0;318186
temp10shaved3Annealing;29;23150;11153.499;100.0;318186
temp10shaved3Annealing;30;23115;11525.627;100.0;318186
