variant;run;score;time_ms;avg_iterations;states
10000_Restarts;1;19213;24095.514;4.0382;264
10000_Restarts;2;19213;25374.593;4.0267;926
10000_Restarts;3;19213;23090.976;4.0556;761
10000_Restarts;4;19213;23100.427;4.0516;651
10000_Restarts;5;19213;23422.220;4.0672;367
10000_Restarts;6;19213;23332.688;4.0617;900
10000_Restarts;7;19213;23274.521;4.0491;392
10000_Restarts;8;19213;23069.638;4.0364;853
10000_Restarts;9;19213;23248.121;4.049;783
10000_Restarts;10;19213;23257.891;4.0419;558
10000_Restarts;11;19213;23251.124;4.066;764
10000_Restarts;12;19213;23161.971;4.0386;507
10000_Restarts;13;19213;23250.947;4.0454;679
10000_Restarts;14;19213;23171.314;4.0177;832
10000_Restarts;15;19213;23081.522;4.0241;536
10000_Restarts;16;19213;23246.221;4.0213;393
10000_Restarts;17;19213;23359.613;4.0522;795
10000_Restarts;18;19213;23320.999;4.0567;551
10000_Restarts;19;19213;23338.894;4.0512;1219
10000_Restarts;20;19213;23594.981;4.0792;930
10000_Restarts;21;19213;23226.478;4.0349;535
10000_Restarts;22;19213;23545.166;4.0523;788
10000_Restarts;23;19213;23536.035;4.0466;258
10000_Restarts;24;19213;23414.479;4.0544;660
10000_Restarts;25;19213;23485.969;4.0505;644
10000_Restarts;26;19213;23489.536;4.0456;638
10000_Restarts;27;19213;23423.954;4.0414;888
10000_Restarts;28;19213;23643.720;4.0577;367
10000_Restarts;29;19213;23573.786;4.0519;795
10000_Restarts;30;19213;23551.244;4.0566;403
