variant;run;score;time_ms;avg_iterations;states
1000_RestartsFast;1;17093;989.339;13.778;14778
1000_RestartsFast;2;17120;847.155;13.617;14617
1000_RestartsFast;3;17082;651.687;13.403;14403
1000_RestartsFast;4;17083;652.491;13.556;14556
1000_RestartsFast;5;17091;615.334;13.694;14694
1000_RestartsFast;6;17132;609.011;13.678;14678
1000_RestartsFast;7;17158;787.064;13.656;14656
1000_RestartsFast;8;17081;870.895;13.645;14645
1000_RestartsFast;9;17061;667.270;13.632;14632
1000_RestartsFast;10;17132;630.383;13.816;14816
1000_RestartsFast;11;17147;620.390;13.594;14594
1000_RestartsFast;12;17059;634.268;13.508;14508
1000_RestartsFast;13;17155;614.736;13.658;14658
1000_RestartsFast;14;17071;621.155;13.624;14624
1000_RestartsFast;15;17118;776.642;13.486;14486
1000_RestartsFast;16;17119;759.243;13.762;14762
1000_RestartsFast;17;17087;663.728;13.666;14666
1000_RestartsFast;18;17130;665.988;13.626;14626
1000_RestartsFast;19;17161;684.864;13.698;14698
1000_RestartsFast;20;17096;761.704;13.699;14699
1000_RestartsFast;21;17128;701.211;13.681;14681
1000_RestartsFast;22;17113;706.066;13.456;14456
1000_RestartsFast;23;17144;681.414;13.777;14777
1000_RestartsFast;24;17124;668.864;13.725;14725
1000_RestartsFast;25;17144;682.450;13.659;14659
1000_RestartsFast;26;17176;724.675;13.655;14655
1000_RestartsFast;27;17121;698.001;13.491;14491
1000_RestartsFast;28;17122;683.911;13.741;14741
1000_RestartsFast;29;17101;701.021;13.665;14665
1000_RestartsFast;30;17143;691.478;13.479;14479
