variant;run;score;time_ms;avg_iterations;states
100_Restarts;1;23236;320.077;14.11;187
100_Restarts;2;23152;120.638;13.89;219
100_Restarts;3;23221;147.431;13.64;126
100_Restarts;4;23215;174.379;13.53;142
100_Restarts;5;23267;132.997;14.48;196
100_Restarts;6;23115;112.585;12.74;163
100_Restarts;7;23195;156.962;13.8;291
100_Restarts;8;23203;134.423;13.87;124
100_Restarts;9;23230;120.759;13.41;127
100_Restarts;10;23249;121.896;14.01;147
100_Restarts;11;23178;118.225;15.16;209
100_Restarts;12;23184;109.178;13.19;176
100_Restarts;13;23211;139.801;13.55;181
100_Restarts;14;23180;147.206;13.38;145
100_Restarts;15;23166;147.113;13.77;262
100_Restarts;16;23164;103.668;13.64;203
100_Restarts;17;23247;121.007;13.44;184
100_Restarts;18;23190;125.981;13.66;188
100_Restarts;19;23170;115.272;12.95;130
100_Restarts;20;23195;102.589;13.16;269
100_Restarts;21;23161;116.498;13.42;121
100_Restarts;22;23169;120.007;13.42;162
100_Restarts;23;23160;112.648;12.92;99
100_Restarts;24;23343;98.459;13.28;176
100_Restarts;25;23160;100.992;12.91;83
100_Restarts;26;23164;93.251;12.47;137
100_Restarts;27;23186;108.136;13.45;217
100_Restarts;28;23227;113.193;13.64;231
100_Restarts;29;23156;107.276;13.64;123
100_Restarts;30;23196;114.668;13.13;124
