variant;run;score;time_ms;avg_iterations;states
2_SideSteps;1;23133;3576.506;33.0;108400
2_SideSteps;2;23114;3552.645;32.0;105374
2_SideSteps;3;23083;3597.699;32.0;105490
2_SideSteps;4;23191;3394.135;30.0;98993
2_SideSteps;5;23173;3624.606;32.0;105292
2_SideSteps;6;23127;3731.635;33.0;108638
2_SideSteps;7;23137;3521.497;31.0;102173
2_SideSteps;8;22940;3538.294;31.0;102100
2_SideSteps;9;22923;3466.316;30.0;98936
2_SideSteps;10;22872;3667.526;32.0;105120
2_SideSteps;11;23086;3776.875;33.0;108582
2_SideSteps;12;23110;3688.058;32.0;105505
2_SideSteps;13;22994;3812.731;33.0;108507
2_SideSteps;14;23217;3937.648;34.0;111843
2_SideSteps;15;22833;3857.126;33.0;108353
2_SideSteps;16;23033;4175.174;31.0;102201
2_SideSteps;17;23088;4433.636;33.0;108434
2_SideSteps;18;23108;4234.268;32.0;105221
2_SideSteps;19;23124;4210.915;33.0;108465
2_SideSteps;20;23328;4160.567;32.0;105352
2_SideSteps;21;23136;4207.703;33.0;108467
2_SideSteps;22;23127;3676.713;32.0;105291
2_SideSteps;23;23139;3679.357;32.0;105339
2_SideSteps;24;23268;4055.543;35.0;114780
2_SideSteps;25;23041;3654.355;30.0;98951
2_SideSteps;26;23010;4256.850;30.0;98808
2_SideSteps;27;23293;4251.180;35.0;114852
2_SideSteps;28;23221;4285.435;34.0;111675
2_SideSteps;29;23228;4150.399;33.0;108539
2_SideSteps;30;23016;3954.270;32.0;105277
