variant;run;score;time_ms;avg_iterations;states
50_Restarts;1;23328;194724.083;32.52;117895
50_Restarts;2;23246;183218.334;32.4;105391
50_Restarts;3;23280;184423.774;32.88;102088
50_Restarts;4;23292;168604.755;32.54;111699
50_Restarts;5;23314;170129.332;32.58;114804
50_Restarts;6;23311;165656.531;32.78;111712
50_Restarts;7;23326;165511.533;32.42;99039
50_Restarts;8;23310;171122.633;33.08;111609
50_Restarts;9;23288;171313.942;32.5;111679
50_Restarts;10;23276;176434.839;33.04;102138
50_Restarts;11;23305;176023.492;32.74;102179
50_Restarts;12;23271;174538.811;32.46;108374
50_Restarts;13;23338;175978.915;32.78;108339
50_Restarts;14;23317;176803.656;32.96;111673
50_Restarts;15;23357;175468.673;32.7;105289
50_Restarts;16;23274;175791.167;32.78;118125
50_Restarts;17;23240;177096.044;32.58;102269
50_Restarts;18;23343;176182.414;32.84;108537
50_Restarts;19;23313;175509.636;32.74;114802
50_Restarts;20;23294;175618.213;32.78;108443
50_Restarts;21;23316;172843.791;32.34;102144
50_Restarts;22;23311;175171.717;32.82;108361
50_Restarts;23;23300;172998.102;32.5;102134
50_Restarts;24;23314;172149.754;32.32;108504
50_Restarts;25;23282;173155.975;32.6;108580
50_Restarts;26;23285;177379.986;33.2;105303
50_Restarts;27;23329;163357.903;31.98;105302
50_Restarts;28;23284;167000.505;32.66;102148
50_Restarts;29;23298;166332.207;32.54;101990
50_Restarts;30;23260;166581.283;32.56;105251
