variant;run;score;time_ms;iterations;states
firstChoice;1;19109;34.412;4.0;0
firstChoice;2;19066;11.792;3.0;0
firstChoice;3;19065;7.215;1.0;0
firstChoice;4;19204;16.717;7.0;0
firstChoice;5;19195;11.631;5.0;0
firstChoice;6;19204;3.735;5.0;0
firstChoice;7;19145;3.972;6.0;0
firstChoice;8;18982;6.989;1.0;0
firstChoice;9;19042;12.827;3.0;0
firstChoice;10;19204;16.482;7.0;0
firstChoice;11;19032;10.450;5.0;0
firstChoice;12;19117;13.139;4.0;0
firstChoice;13;19073;14.366;5.0;0
firstChoice;14;19155;8.717;5.0;0
firstChoice;15;19022;8.844;5.0;0
firstChoice;16;19189;11.997;6.0;0
firstChoice;17;19136;21.371;5.0;0
firstChoice;18;18990;7.351;3.0;0
firstChoice;19;19162;8.858;5.0;0
firstChoice;20;19154;11.170;5.0;0
firstChoice;21;19093;19.614;5.0;0
firstChoice;22;19152;6.209;5.0;0
firstChoice;23;19072;1.895;1.0;0
firstChoice;24;19145;4.700;5.0;0
firstChoice;25;19193;6.679;6.0;0
firstChoice;26;18991;4.988;4.0;0
firstChoice;27;19051;2.634;4.0;0
firstChoice;28;19115;10.057;4.0;0
firstChoice;29;19102;4.949;4.0;0
firstChoice;30;18993;5.339;2.0;0
