variant;run;score;time_ms;iterations;states
firstChoiceSwaps;1;17207;8127.160;55.0;0
firstChoiceSwaps;2;17228;5001.924;71.0;0
firstChoiceSwaps;3;17201;3648.063;63.0;0
firstChoiceSwaps;4;17222;5437.161;65.0;0
firstChoiceSwaps;5;17228;4448.236;71.0;0
firstChoiceSwaps;6;17215;7966.176;56.0;0
firstChoiceSwaps;7;17215;8622.862;65.0;0
firstChoiceSwaps;8;17159;4987.135;58.0;0
firstChoiceSwaps;9;17207;4115.821;56.0;0
firstChoiceSwaps;10;17202;3557.530;64.0;0
firstChoiceSwaps;11;17222;7237.436;75.0;0
firstChoiceSwaps;12;17228;3427.347;42.0;0
firstChoiceSwaps;13;17199;3457.367;51.0;0
firstChoiceSwaps;14;17228;3731.782;57.0;0
firstChoiceSwaps;15;17220;4728.413;72.0;0
firstChoiceSwaps;16;17226;5494.047;74.0;0
firstChoiceSwaps;17;17228;3826.942;53.0;0
firstChoiceSwaps;18;17192;2904.939;54.0;0
firstChoiceSwaps;19;17228;2439.043;72.0;0
firstChoiceSwaps;20;17228;3482.373;53.0;0
firstChoiceSwaps;21;17220;5562.092;63.0;0
firstChoiceSwaps;22;17226;3307.144;54.0;0
firstChoiceSwaps;23;17220;5212.638;49.0;0
firstChoiceSwaps;24;17186;2760.703;64.0;0
firstChoiceSwaps;25;17226;3383.392;60.0;0
firstChoiceSwaps;26;17220;3304.756;56.0;0
firstChoiceSwaps;27;17198;4098.200;59.0;0
firstChoiceSwaps;28;17226;4040.741;76.0;0
firstChoiceSwaps;29;17201;3001.163;59.0;0
firstChoiceSwaps;30;17201;4232.869;54.0;0
