time;points;states
2028;17118;159600
2018;17034;166400
2024;17041;164200
2020;17058;166400
2005;17038;163000
2022;17138;165200
2008;16966;162600
2005;17163;165000
2011;17105;164400
2011;17010;165000
2015;17006;167000
2001;17108;162600
2008;16996;165800
2006;17047;170400
2027;17058;168400
2003;17146;168400
2007;17077;167400
2011;17036;164400
2016;17056;166000
2015;17088;166600
2026;17133;167400
2003;17002;165000
2021;17087;166200
2039;17061;167200
2028;17048;165200
2000;17063;162000
2024;17032;163000
2013;17098;169600
2008;17028;162600
2004;17080;160800
