time;points;states
2035;17228;2829841
2045;17228;2810871
2057;17228;2959575
2058;17228;2934224
2064;17228;2474740
2076;17228;2946653
2006;17228;2793218
2042;17228;2877147
2023;17228;2845566
2160;17222;3069875
2024;17228;2833779
2034;17228;2878454
2043;17228;2875713
2005;17222;2809793
2015;17228;2872572
2057;17222;2892769
2050;17228;2936535
2017;17228;2879203
2016;17228;2867348
2042;17228;2953583
2074;17228;2975845
2110;17228;3040545
2030;17228;2926695
2001;17228;2864726
2006;17228;2870764
2135;17226;3052484
2039;17226;2820844
2089;17228;2939808
2020;17228;2762859
2039;17228;2781261
