time;points;states
5275;16926;9168
5252;16823;9168
5316;16441;9168
5293;16925;9168
5279;16689;9168
5251;16842;9168
5344;16771;8022
5245;16907;9168
5622;16792;10314
5098;16739;9168
5106;16964;9168
5012;16727;9168
5004;16413;9168
5069;16829;9168
5578;16873;10314
5021;16297;9168
5071;16884;9168
5041;16935;9168
5002;16475;9168
5019;16834;9168
5031;16745;9168
5598;16925;10314
5063;16799;9168
5613;16307;10314
5051;16451;9168
5570;16777;10314
5011;16749;9168
5003;16592;9168
5017;16791;9168
5065;17054;9168
