time;points;states
5001;17097;1386968
5000;17123;1388410
5002;17130;1388823
5000;17116;1392791
5000;17110;1391029
5001;17148;1389112
5001;17134;1155819
5001;17175;1345269
5001;17120;1441574
5000;17081;1438856
5000;17149;1445296
5001;17143;1433046
5001;17101;1443866
5000;17180;1445770
5001;17110;1445911
5000;17123;1444584
5002;17144;1444438
5000;17103;1443734
5000;17078;1446178
5000;17147;1449825
5000;17119;1441913
5000;17100;1443023
5001;17202;1445284
5001;17159;1444526
5001;17098;1448644
5001;17141;1443238
5000;17102;1448301
5000;17115;1448775
5001;17147;1445782
5001;17148;1446965
