time;points;states
60000;17103;35281378
60001;17118;35238781
60001;17114;35405888
60000;17087;35304989
60000;17085;35410376
60001;17118;35563493
60001;17127;35318050
60001;17146;35304362
60000;17150;35556347
60001;17106;35372113
60001;17121;35487070
60002;17122;35432800
60000;17102;35380688
60001;17113;35532937
60002;17138;35422739
60003;17089;35493204
60001;17139;35472908
60002;17121;35394107
60001;17165;35609017
60001;17121;35423882
60000;17148;35492355
60001;17092;35468899
60000;17102;35437167
60001;17148;35519987
60002;17136;35479975
60000;17146;35510424
60000;17154;35566948
60001;17122;35487396
60000;17110;35546553
60000;17153;35531015
