time;points;iterations
0.579;15780;11
0.747;16686;13
0.584;15600;11
1.107;15535;14
0.923;16300;13
1.044;16690;14
0.761;17113;10
0.870;16752;12
1.376;16360;15
1.273;16259;14
1.223;15715;14
1.434;16850;16
0.901;16678;16
0.999;16880;15
0.560;16435;11
0.531;16200;9
0.648;15639;13
0.791;16719;13
0.866;16644;13
0.973;15537;14
0.988;15740;13
1.068;16282;18
0.634;16247;10
0.227;16419;3
0.788;15732;13
0.459;15653;5
0.995;16933;13
0.879;16227;11
0.939;15657;15
0.679;16468;14
0.722;16357;16
1.865;16167;16
0.772;16299;12
1.045;16106;13
0.857;16155;15
0.659;16181;13
0.456;15728;9
0.795;16474;17
0.600;15625;11
0.829;16336;17
0.586;16495;11
0.513;16790;9
0.940;16282;12
0.993;16865;16
0.847;16282;11
1.328;16254;16
1.271;16279;14
0.660;16638;8
1.171;16470;13
1.043;16895;13
1.124;16249;13
0.629;16705;11
0.705;16803;13
1.780;16631;15
1.506;16929;15
1.297;16340;13
0.803;15657;9
1.123;16254;12
1.329;16871;14
1.198;16843;16
1.056;16725;13
0.800;16825;15
0.611;16823;13
0.661;16420;15
0.837;16424;14
0.810;16815;13
0.452;15617;8
0.501;16831;10
0.767;16349;16
0.903;16671;18
0.628;16822;14
0.690;16769;16
0.643;16710;10
0.534;16243;10
0.458;16406;10
0.687;16771;16
0.549;16593;12
0.651;15820;14
0.794;16293;17
0.462;16393;10
0.558;16741;12
0.484;16078;11
0.536;15826;12
0.526;15643;11
0.829;16423;12
2.793;16368;11
1.623;16279;14
0.950;16348;10
1.515;16569;12
1.052;16387;12
1.333;16852;16
0.934;16381;12
0.826;16376;10
0.926;16250;11
1.625;16812;22
0.745;16107;14
0.760;16368;14
0.841;16816;18
0.482;15969;7
1.666;16959;16
2.318;16804;16
2.062;16502;21
1.128;15619;13
1.210;16889;21
0.400;15063;6
0.678;16630;15
0.867;16355;19
0.769;16173;13
0.651;16833;15
0.675;15901;15
0.680;16306;13
0.551;16755;12
0.751;16769;16
0.874;16823;18
1.075;17025;18
1.041;16259;16
0.959;16431;16
0.694;15074;6
0.906;15647;10
0.979;16667;12
1.486;16926;17
1.332;16240;17
0.920;16627;11
1.094;16309;13
1.354;16295;16
0.847;16712;11
1.087;16745;13
1.592;15742;15
1.420;16787;10
1.369;16344;15
0.877;15691;10
1.362;16029;17
1.574;16199;9
0.942;16817;14
1.219;16190;15
0.681;16300;11
0.607;16274;12
0.621;16048;13
0.641;16701;12
0.441;15568;9
1.066;16664;19
0.664;16574;15
0.809;16238;18
0.831;16142;16
0.862;16208;17
0.690;16310;14
0.553;16806;12
0.296;16129;5
0.652;16384;14
0.713;16798;16
0.646;16267;14
0.614;15230;13
0.688;16967;15
0.687;16308;10
0.747;16173;15
0.909;16821;14
1.052;16401;16
0.982;16521;17
