time;points;iterations
0.424;16835;5
0.870;16818;10
0.384;16660;4
0.751;16795;9
0.454;16744;5
0.783;16893;9
0.653;16679;9
0.336;16729;5
0.377;16864;7
0.389;16897;8
0.496;16829;7
0.629;16779;11
0.437;16872;9
0.351;16767;7
0.454;16749;6
0.376;16615;6
0.581;16996;9
0.803;16890;9
0.546;16785;7
0.463;16750;7
0.479;16708;5
0.660;16772;6
0.729;16973;8
0.786;16848;9
0.435;16866;3
0.860;16732;8
0.576;16667;6
0.639;16833;8
0.300;16705;4
0.518;16701;5
0.345;16985;7
0.289;16814;5
0.421;16854;8
0.264;16860;5
0.193;16603;3
0.212;16688;4
0.430;16716;7
0.585;16964;11
0.535;16731;9
0.203;16601;3
0.161;16729;3
0.256;16815;3
0.583;16851;6
0.424;16900;5
1.523;16811;13
0.506;16856;6
0.362;16783;4
0.506;16572;6
0.519;16823;6
0.337;16741;5
0.389;16790;6
0.511;16886;8
0.445;16776;7
0.416;16559;6
0.298;16854;4
0.313;16813;5
0.265;16650;5
0.392;16883;8
0.359;16742;7
0.558;16755;9
0.166;16629;2
0.357;16926;7
0.470;16798;8
0.425;16722;8
0.384;16667;8
0.307;16657;6
0.346;16687;7
0.423;16786;7
0.674;17101;9
0.959;16963;9
0.750;16926;9
0.695;17160;8
0.379;16722;4
1.096;16958;11
0.557;16652;7
0.684;16775;6
0.492;16870;6
0.609;16628;7
0.777;16816;10
0.624;16726;8
0.768;16871;10
0.654;16923;8
0.458;16605;5
0.444;16745;7
0.496;16664;7
0.481;16629;6
0.641;16782;7
0.573;16780;5
0.780;16920;8
0.364;16493;6
0.218;16880;2
0.571;16842;8
0.786;16900;9
0.342;16761;3
0.888;16880;9
0.320;16633;6
0.320;16893;6
0.335;16752;4
0.634;16925;9
0.557;16675;7
0.631;16845;8
0.639;16887;8
0.652;16791;8
0.542;17011;7
0.441;16678;6
0.722;16682;9
0.863;16955;8
0.720;16833;9
0.663;16806;8
0.513;16600;6
0.680;16756;8
0.347;16887;4
0.410;16665;6
0.529;16917;8
0.369;16754;5
0.563;16713;7
0.217;16695;4
0.305;16740;5
0.512;16785;9
0.339;16682;6
0.299;16622;6
0.179;16619;3
0.356;16810;5
0.335;17062;7
0.379;16773;5
0.487;16674;9
0.128;16519;2
0.338;16849;8
0.237;16853;5
0.326;16638;5
0.324;16936;6
0.378;16795;6
0.317;16907;5
0.464;16993;8
0.327;16646;5
0.471;16590;6
0.696;16863;7
0.527;16980;9
0.653;16971;10
0.949;16903;12
0.941;16778;10
3.981;16861;9
0.442;16548;4
0.697;16798;8
0.366;16549;4
0.788;16723;10
0.585;16754;8
0.279;16800;5
0.332;16921;6
0.447;16854;8
0.414;16843;8
0.643;17028;11
0.418;16903;7
0.616;16831;7
0.322;16829;4
0.345;16685;4
0.451;16894;8
0.545;16869;10
0.589;16596;7
0.479;16818;8
0.442;16785;9
0.523;16772;7
0.352;16543;2
0.557;16831;6
0.696;16842;7
0.618;16879;6
0.576;16719;6
0.669;16937;7
0.458;16686;5
0.618;16991;7
0.569;16871;6
0.596;16593;6
1.246;16774;9
1.163;16876;8
0.835;16659;5
0.511;16714;4
0.582;16504;5
0.776;16863;9
0.417;16817;6
0.591;16855;8
0.653;16806;10
0.519;16875;10
0.481;17009;10
0.276;16895;4
0.539;16811;8
0.414;16749;4
0.359;16790;6
0.504;16723;7
0.395;16707;6
0.472;16890;6
0.402;16828;4
0.536;16677;7
0.496;16880;8
0.376;16645;9
0.402;16770;9
0.150;16713;3
0.305;16815;7
0.348;16824;8
0.259;16651;6
0.219;16786;5
0.480;16870;9
0.266;16688;6
0.219;16746;4
0.402;16816;9
0.162;16627;3
0.173;16821;3
0.364;16542;6
0.734;16961;12
0.263;16692;5
0.216;16864;3
0.435;16838;8
0.453;16797;8
0.504;16751;5
0.381;16582;5
0.647;16690;8
0.746;16853;11
0.520;16934;8
0.234;16695;5
0.561;16755;9
0.402;16831;7
0.345;16770;7
0.315;16624;5
0.329;16713;7
0.387;16854;7
0.225;16732;3
0.666;16853;11
0.327;16608;3
0.418;16657;5
0.367;16744;3
0.633;16785;7
1.059;16692;10
0.331;16678;4
0.542;16987;5
0.553;16704;7
0.127;16659;1
0.496;16836;11
0.346;16907;8
0.239;16847;5
0.406;16801;10
0.263;16639;6
0.274;16969;6
0.341;16910;8
0.312;16872;7
0.263;16755;6
0.315;16878;6
0.320;16765;7
0.416;16894;8
0.576;16984;6
0.478;16769;7
0.409;16690;4
0.654;16595;7
0.662;16775;11
0.396;16661;5
0.483;16737;7
0.622;16770;9
0.758;16898;10
0.518;16635;7
0.543;16856;7
0.910;16979;11
0.404;16660;7
0.291;16720;6
0.411;16629;8
0.465;16888;10
0.708;17057;12
0.415;16722;6
0.363;16688;4
0.409;16768;8
0.243;16773;5
0.264;16827;6
0.497;16877;11
0.393;17031;7
0.347;16597;6
0.346;16763;7
0.423;16810;7
0.390;16842;8
0.498;17003;9
0.845;16586;10
0.312;16618;5
0.665;16734;7
0.775;16933;9
0.720;17004;9
0.482;16630;7
0.329;16823;5
0.758;16649;9
0.583;16818;7
0.530;16662;9
0.435;16614;7
0.491;16595;7
0.802;16925;11
0.232;16532;5
0.211;16832;4
0.281;16847;6
0.284;16871;6
0.231;16723;5
0.296;16937;6
0.451;16957;9
0.605;16844;10
0.517;16780;7
0.549;16926;8
0.263;16747;5
0.445;16842;7
0.414;16803;8
0.684;16912;9
0.528;16741;7
0.846;16796;8
0.342;16672;4
0.318;16733;6
0.459;16862;5
0.414;16665;5
0.238;16941;5
0.264;16843;4
0.231;16455;4
0.236;16770;3
0.524;16915;8
0.325;16840;6
0.328;16901;5
0.440;16768;7
0.540;16886;8
0.634;16682;8
0.399;16538;5
0.709;16784;8
0.338;16901;7
0.452;16929;8
0.272;16960;5
0.455;16996;9
0.862;16767;4
0.181;16756;4
0.158;16637;3
0.359;16734;8
0.342;16863;8
0.569;17003;14
0.281;16886;5
0.435;16693;10
0.233;16532;5
0.319;16817;7
0.364;16995;8
0.211;16598;4
0.373;16578;7
0.481;16978;10
0.350;16951;4
0.652;16648;9
0.380;16787;5
0.206;16853;2
0.740;16900;9
0.989;16800;11
0.527;16766;6
0.767;17035;9
0.513;16522;5
0.494;16599;6
0.650;16913;8
0.365;16650;4
0.535;16692;9
0.524;16891;8
0.660;16721;7
0.776;16753;6
0.824;16777;8
0.777;17035;8
0.493;16791;4
0.892;16873;7
0.735;16663;6
0.698;16811;8
0.759;16746;8
0.604;16939;10
0.574;16707;8
0.354;16481;8
0.448;16788;9
0.529;16876;6
0.445;16971;10
0.258;16777;5
0.366;16788;9
0.407;17043;9
0.374;16767;8
0.252;16906;4
0.453;16559;11
0.318;16776;7
0.307;16791;7
0.287;16785;6
0.337;16841;5
0.480;16937;9
0.463;16798;9
0.596;16963;10
0.463;16882;6
0.279;16689;3
0.630;16929;8
0.528;16879;7
0.805;16666;8
0.516;16725;6
0.300;16649;4
0.329;16921;5
0.710;17012;9
0.360;16501;4
0.315;16810;3
0.725;16563;9
0.594;16763;7
0.403;16779;5
0.302;16730;3
0.475;16726;7
0.553;16799;8
0.659;16932;11
0.430;16808;7
0.314;16764;5
0.247;16505;3
0.443;16676;7
0.427;16690;7
0.809;16902;9
0.527;16909;7
0.893;16761;9
0.683;16773;7
0.688;16985;7
0.726;16815;8
0.380;16692;7
0.408;16775;6
0.429;16648;8
0.319;16876;3
0.493;16589;4
0.930;16823;8
0.801;16949;10
0.560;16830;7
0.789;16740;12
0.845;16971;12
0.497;16714;6
0.510;16922;7
0.617;16730;7
0.499;16880;6
0.377;16710;5
0.201;16670;3
0.239;16758;4
0.226;16806;4
0.234;16891;4
0.889;16628;5
0.447;16703;4
0.721;16733;7
0.360;16718;4
0.728;16747;9
0.424;16838;9
0.417;16862;7
0.509;16931;11
0.640;16891;13
0.567;16755;11
0.474;16929;10
0.244;16594;5
0.342;16547;5
0.150;16852;3
0.381;16843;6
0.541;16897;10
0.335;16850;6
0.295;16816;6
0.442;16895;7
0.784;16571;10
0.658;16760;10
0.325;16810;5
