time;points;iterations
0.740;0;0
8.210;17113;34
7.452;17113;34
3.892;17113;34
4.132;17113;34
6.018;17113;34
4.534;17113;34
2.564;17113;34
4.061;17113;34
2.629;17113;34
2.008;17113;34
2.178;17113;34
2.319;17113;34
3.832;17113;34
6.172;17113;34
2.270;17113;34
3.522;17113;34
2.706;17113;34
2.072;17113;34
2.092;17113;34
2.168;17113;34
2.136;17113;34
3.926;17113;34
3.553;17113;34
2.582;17113;34
2.628;17113;34
3.497;17113;34
4.997;17113;34
4.175;17113;34
2.738;17113;34
2.391;17113;34
2.300;17113;34
2.042;17113;34
2.014;17113;34
2.598;17113;34
3.093;17113;34
3.974;17113;34
3.434;17113;34
2.232;17113;34
3.461;17113;34
3.026;17113;34
2.324;17113;34
2.296;17113;34
3.205;17113;34
3.289;17113;34
2.524;17113;34
1.926;17113;34
2.083;17113;34
3.150;17113;34
3.470;17113;34
4.937;17113;34
3.535;17113;34
2.031;17113;34
1.995;17113;34
2.146;17113;34
3.048;17113;34
2.919;17113;34
3.319;17113;34
3.933;17113;34
5.744;17113;34
3.632;17113;34
3.582;17113;34
4.038;17113;34
3.617;17113;34
3.987;17113;34
2.955;17113;34
3.270;17113;34
3.075;17113;34
4.398;17113;34
2.501;17113;34
4.498;17113;34
2.902;17113;34
2.444;17113;34
3.360;17113;34
3.592;17113;34
2.978;17113;34
2.439;17113;34
3.622;17113;34
3.443;17113;34
1.741;17113;34
2.221;17113;34
3.293;17113;34
2.796;17113;34
4.293;17113;34
4.925;17113;34
2.667;17113;34
2.472;17113;34
1.974;17113;34
2.163;17113;34
5.004;17113;34
6.063;17113;34
6.384;17113;34
6.547;17113;34
5.252;17113;34
5.728;17113;34
7.051;17113;34
7.160;17113;34
5.129;17113;34
5.600;17113;34
3.115;17113;34
3.393;17113;34
4.091;17113;34
3.160;17113;34
2.550;17113;34
2.205;17113;34
1.774;17113;34
1.802;17113;34
1.757;17113;34
2.280;17113;34
3.362;17113;34
2.450;17113;34
3.252;17113;34
3.854;17113;34
4.182;17113;34
3.417;17113;34
3.101;17113;34
2.106;17113;34
2.656;17113;34
2.618;17113;34
3.860;17113;34
5.600;17113;34
3.436;17113;34
3.399;17113;34
2.697;17113;34
1.816;17113;34
3.580;17113;34
4.318;17113;34
2.161;17113;34
3.206;17113;34
3.396;17113;34
3.400;17113;34
2.024;17113;34
2.174;17113;34
2.636;17113;34
2.707;17113;34
2.996;17113;34
2.918;17113;34
2.597;17113;34
1.817;17113;34
1.718;17113;34
2.119;17113;34
3.305;17113;34
3.001;17113;34
3.313;17113;34
2.317;17113;34
2.975;17113;34
4.188;17113;34
2.978;17113;34
1.782;17113;34
1.983;17113;34
3.955;17113;34
1.739;17113;34
2.020;17113;34
2.073;17113;34
1.932;17113;34
1.914;17113;34
2.320;17113;34
2.124;17113;34
2.089;17113;34
1.932;17113;34
2.585;17113;34
1.960;17113;34
1.764;17113;34
1.721;17113;34
