time;points;iterations
192.224;23286;108
178.726;23245;79
300.258;23350;108
199.705;23285;93
338.115;23336;99
277.487;23290;95
223.226;23341;100
272.517;23355;95
258.106;23336;95
293.740;23324;98
231.348;23312;106
200.766;23273;100
361.820;23365;105
338.496;23329;92
252.984;23304;103
167.763;23316;94
226.044;23328;118
249.895;23365;110
366.638;23361;101
322.179;23300;102
296.392;23241;95
206.613;23348;102
265.795;23297;92
392.310;23298;95
212.803;23367;95
346.202;23250;100
303.114;23320;99
429.628;23312;107
189.040;23314;99
143.593;23277;110
342.810;23307;99
391.252;23348;112
189.698;23315;96
224.970;23297;89
156.448;23297;84
290.217;23297;98
332.661;23345;108
234.060;23300;103
160.550;23297;92
284.029;23365;100
221.707;23315;99
260.509;23366;104
185.929;23295;92
311.875;23311;105
173.265;23224;86
412.544;23306;105
364.519;23315;100
197.022;23359;99
157.066;23286;95
451.473;23350;107
152.270;23305;92
243.572;23350;95
151.336;23304;108
405.326;23350;98
212.199;23333;100
344.676;23353;88
442.733;23353;122
305.567;23287;93
413.264;23364;96
348.405;23345;90
195.172;23297;106
269.373;23333;113
209.606;23309;81
241.429;23315;110
226.470;23362;77
285.998;23278;99
378.895;23340;96
424.960;23382;109
197.894;23316;99
189.923;23358;94
155.180;23255;86
240.017;23307;99
356.225;23368;102
270.488;23313;104
253.807;23310;91
340.832;23351;99
252.459;23348;94
196.663;23333;102
201.726;23322;80
287.484;23340;105
226.935;23331;84
243.148;23261;107
282.789;23316;114
372.600;23345;107
316.427;23291;101
268.655;23317;88
362.453;23341;112
246.437;23332;99
155.768;23316;91
141.203;23326;86
267.599;23322;92
261.298;23272;87
259.756;23324;93
417.918;23353;104
321.937;23369;99
349.499;23353;100
227.124;23357;93
302.061;23304;98
361.458;23325;110
123.019;23272;87
190.244;23331;110
263.273;23363;99
182.197;23303;87
481.229;23365;97
185.124;23306;91
201.947;23368;106
238.494;23283;95
178.506;23293;94
402.625;23378;96
251.205;23276;97
100.033;23309;90
198.851;23290;106
303.914;23289;117
234.288;23305;100
199.650;23340;94
242.240;23287;92
157.329;23320;101
310.774;23300;103
151.190;23304;72
291.045;23310;94
282.476;23332;95
