time;points;iterations
248.026;23322;89
265.084;23256;108
205.356;23321;96
257.935;23329;104
289.858;23341;99
332.322;23339;110
397.729;23323;86
255.935;23328;105
350.269;23286;99
202.458;23339;94
370.009;23338;92
195.285;23319;101
290.418;23316;97
162.376;23329;101
173.198;23319;99
332.617;23306;102
158.843;23339;86
140.156;23310;97
214.098;23330;90
249.204;23276;99
151.234;23290;97
241.020;23361;112
201.762;23353;91
222.169;23349;95
203.461;23339;97
157.732;23317;88
155.853;23350;103
274.926;23312;80
237.763;23333;99
276.036;23297;103
229.575;23311;86
206.527;23320;98
230.401;23299;116
311.166;23312;97
123.876;23318;87
318.186;23343;100
161.967;23290;89
232.230;23361;99
299.693;23298;103
281.328;23333;100
371.479;23320;93
169.398;23243;85
526.186;23362;109
193.939;23344;94
249.468;23316;99
168.759;23265;89
197.966;23321;96
138.118;23231;105
203.767;23275;90
185.667;23288;84
309.795;23361;101
172.110;23285;99
138.907;23279;86
182.238;23333;97
221.937;23312;96
256.624;23315;107
215.114;23358;105
154.623;23316;106
241.756;23311;105
239.337;23318;108
329.725;23358;93
208.713;23318;84
171.562;23332;107
145.348;23365;91
247.444;23260;93
197.001;23308;108
406.378;23349;107
253.895;23330;102
387.521;23336;89
199.702;23229;96
143.799;23318;96
328.237;23306;106
320.322;23312;104
265.297;23345;97
376.691;23362;118
198.179;23261;102
370.118;23325;101
279.814;23330;106
308.868;23338;102
410.070;23317;102
274.116;23323;109
134.556;23284;72
174.565;23283;92
339.147;23353;97
264.316;23358;100
172.252;23341;104
298.463;23314;95
253.523;23305;97
174.767;23332;96
195.442;23308;108
294.388;23346;105
237.043;23309;89
194.051;23214;104
310.349;23338;104
215.918;23274;94
230.453;23267;89
275.365;23281;92
257.096;23312;112
209.044;23324;110
434.738;23310;107
377.777;23334;97
299.946;23358;104
230.997;23300;90
126.338;23299;95
165.835;23306;93
307.436;23350;102
107.498;23259;86
327.152;23298;102
199.229;23318;93
263.963;23355;99
278.479;23351;82
278.586;23300;93
159.810;23313;102
219.598;23262;86
293.758;23317;102
178.303;23286;88
249.049;23350;110
314.255;23331;90
409.666;23341;110
191.244;23328;96
269.163;23336;99
199.235;23296;103
198.499;23300;106
171.027;23256;84
200.865;23347;114
134.934;23168;111
283.419;23347;106
126.402;23315;84
210.317;23301;96
239.792;23312;104
211.495;23342;97
313.343;23318;109
159.712;23329;99
143.651;23212;80
402.102;23340;113
156.215;23280;94
273.096;23346;90
201.839;23312;107
271.071;23312;108
222.570;23350;103
232.108;23309;102
227.125;23324;99
168.651;23269;113
311.584;23349;101
171.631;23330;89
309.259;23345;98
159.048;23363;93
167.880;23290;87
418.507;23325;99
246.244;23338;101
177.223;23317;103
215.548;23307;104
268.505;23324;93
231.539;23361;91
375.544;23304;91
152.126;23281;79
321.453;23295;101
248.604;23311;83
286.284;23316;103
233.335;23341;101
495.912;23350;93
241.736;23344;111
413.366;23339;108
165.378;23267;90
276.239;23327;94
266.436;23312;87
311.488;23365;96
145.267;23273;106
187.156;23310;96
185.186;23314;97
177.357;23359;93
203.401;23293;90
193.896;23310;88
217.005;23318;88
160.672;23317;98
195.270;23336;76
275.701;23291;103
262.412;23322;89
301.809;23358;107
167.659;23291;87
206.687;23250;79
298.546;23350;113
308.863;23304;102
228.971;23322;104
167.028;23305;94
199.703;23247;83
297.891;23297;103
282.018;23299;95
350.946;23344;103
154.456;23264;93
301.092;23309;84
393.292;23306;116
201.572;23319;93
332.894;23310;93
268.512;23297;94
351.444;23327;100
208.076;23290;117
189.797;23318;89
284.643;23264;96
254.204;23319;105
180.418;23326;69
183.111;23236;110
303.098;23332;93
326.929;23315;102
170.911;23290;94
164.843;23257;97
201.195;23296;96
271.078;23278;100
413.217;23358;98
307.609;23354;101
192.006;23252;109
174.902;23290;85
213.729;23318;95
240.937;23326;101
271.060;23300;101
311.071;23326;106
169.855;23306;87
204.283;23263;88
228.131;23299;102
202.397;23312;87
296.541;23343;88
227.711;23332;100
234.116;23329;104
155.297;23308;84
133.041;23332;100
200.519;23306;94
235.008;23313;99
253.730;23274;117
286.118;23337;107
136.481;23214;91
203.481;23335;94
245.911;23330;103
203.993;23365;89
360.066;23301;121
358.555;23324;104
273.120;23262;95
125.407;23336;96
159.849;23303;89
315.023;23374;90
356.560;23322;101
282.559;23332;95
167.575;23247;90
210.921;23313;86
344.510;23326;104
274.521;23321;103
433.940;23320;105
217.256;23340;101
269.663;23345;106
216.848;23374;95
328.428;23353;104
356.264;23336;83
174.813;23299;92
253.030;23310;82
312.329;23369;100
272.417;23315;90
207.424;23289;111
315.299;23309;86
292.812;23328;99
405.809;23317;121
274.023;23362;98
148.969;23310;94
158.876;23293;113
245.897;23348;90
205.201;23301;100
241.293;23355;109
313.946;23313;104
221.404;23311;109
224.907;23296;91
206.454;23369;98
200.250;23279;94
290.803;23284;93
292.597;23307;109
200.642;23277;92
368.019;23338;95
362.198;23299;105
272.424;23324;98
175.769;23293;94
258.984;23328;85
181.584;23312;103
247.403;23354;105
208.244;23308;105
309.192;23363;94
366.338;23363;106
329.459;23318;103
217.145;23309;99
230.430;23324;90
222.463;23322;110
262.864;23366;108
251.330;23205;107
342.059;23336;102
297.911;23361;85
186.344;23290;85
436.947;23370;110
155.810;23340;101
344.965;23308;112
177.601;23301;97
238.931;23329;93
293.722;23308;98
364.735;23336;100
251.661;23313;97
157.322;23266;89
263.512;23329;108
209.383;23350;95
128.034;23280;87
265.039;23326;103
387.949;23342;101
334.154;23355;113
298.295;23319;89
259.791;23319;105
293.884;23305;102
244.367;23323;100
377.750;23307;113
132.179;23340;98
204.740;23279;109
326.792;23321;104
196.104;23365;87
226.373;23314;92
258.969;23368;95
344.925;23311;94
176.593;23309;103
416.553;23305;102
230.400;23340;106
262.475;23298;90
226.057;23309;102
228.126;23338;98
217.103;23314;92
229.760;23318;95
148.306;23326;91
314.006;23279;95
313.113;23363;103
218.969;23295;106
232.276;23308;116
192.554;23309;99
276.203;23334;93
152.153;23311;90
180.220;23329;93
270.528;23304;87
221.396;23301;104
286.090;23349;105
287.196;23314;87
256.300;23352;92
284.710;23342;109
231.265;23314;101
149.455;23309;92
228.228;23304;112
229.046;23273;107
169.553;23306;93
221.286;23360;110
352.535;23301;106
223.616;23320;93
317.166;23350;118
210.357;23314;94
167.211;23320;93
186.033;23247;103
357.687;23297;98
279.755;23278;88
258.071;23310;92
353.297;23324;113
201.721;23290;102
463.669;23320;99
202.513;23323;97
183.471;23336;89
188.403;23363;88
344.649;23312;106
221.523;23326;103
248.044;23327;79
182.858;23304;99
228.906;23275;107
377.151;23354;113
362.363;23328;103
438.452;23366;102
281.615;23298;101
123.571;23276;83
293.743;23332;91
268.855;23315;108
205.373;23319;95
295.194;23293;107
309.150;23350;102
334.832;23348;97
322.433;23353;100
235.629;23294;97
265.642;23316;91
270.878;23352;91
140.507;23323;80
208.340;23305;94
249.824;23330;97
164.686;23316;107
158.447;23288;95
382.625;23312;93
327.000;23351;121
235.275;23308;104
342.590;23378;123
278.059;23298;92
201.644;23286;93
351.669;23375;103
142.886;23314;92
185.006;23266;94
160.399;23307;98
226.149;23320;96
151.825;23353;100
230.811;23345;99
317.589;23324;103
187.523;23349;107
179.771;23343;101
311.578;23295;99
192.663;23349;102
233.304;23269;97
230.420;23304;102
222.221;23361;109
357.311;23369;110
204.318;23304;114
381.898;23309;101
220.546;23284;101
270.228;23297;100
193.044;23308;83
237.751;23337;95
327.429;23278;98
244.860;23347;104
470.150;23348;105
327.032;23319;106
184.114;23281;95
192.178;23313;103
182.306;23293;95
238.778;23347;106
292.162;23297;115
186.182;23267;104
239.339;23324;101
127.730;23205;96
257.996;23295;112
252.266;23305;104
233.083;23365;93
318.726;23302;113
228.613;23313;100
279.162;23336;101
151.588;23288;79
441.134;23318;110
254.351;23331;108
212.316;23316;96
252.416;23298;95
485.259;23303;108
429.957;23324;102
168.133;23287;85
270.972;23312;90
365.869;23322;94
190.099;23344;108
162.362;23287;103
319.131;23332;114
237.372;23321;90
325.022;23302;107
200.111;23314;91
211.456;23248;106
198.681;23292;89
275.691;23305;111
147.189;23317;96
243.131;23298;103
317.526;23292;110
176.225;23289;100
362.638;23378;114
231.142;23283;109
190.133;23314;104
323.200;23323;110
178.923;23314;92
294.659;23316;100
282.992;23310;106
243.130;23351;92
258.013;23369;108
152.050;23252;86
186.635;23252;96
238.547;23316;104
239.631;23284;94
307.863;23323;122
134.978;23307;87
359.694;23308;99
308.595;23336;98
224.681;23278;90
155.621;23318;90
162.775;23323;93
271.274;23355;82
216.785;23329;101
198.889;23268;89
301.583;23345;101
242.672;23331;91
282.986;23334;104
325.771;23320;101
274.088;23339;113
191.517;23300;92
251.658;23294;92
292.237;23273;90
349.331;23331;100
208.723;23337;84
258.806;23326;100
213.670;23311;99
216.219;23351;100
