time;points;iterations
274.678;23309;97
239.241;23339;115
291.927;23270;106
233.634;23327;90
171.273;23300;85
226.463;23347;99
285.437;23309;103
241.459;23316;102
253.125;23307;104
350.325;23321;88
336.678;23352;118
319.912;23320;115
355.133;23357;98
195.792;23365;114
211.168;23345;104
192.689;23345;86
346.513;23315;112
115.419;23253;95
262.300;23384;111
182.785;23312;83
194.046;23325;98
187.339;23308;104
252.872;23297;109
377.095;23340;98
407.273;23332;116
287.627;23324;112
249.973;23312;110
190.309;23348;80
315.572;23350;97
213.680;23274;104
247.508;23318;104
490.504;23355;113
139.326;23300;105
218.925;23314;101
308.179;23361;107
190.474;23301;99
383.723;23348;92
275.402;23276;93
210.262;23318;92
263.944;23299;109
310.740;23326;97
257.572;23315;93
231.769;23382;106
280.109;23309;103
427.207;23334;93
302.815;23347;86
162.236;23228;88
244.365;23306;90
240.456;23306;100
217.462;23350;114
165.484;23283;101
277.635;23375;112
311.549;23315;95
282.948;23298;105
206.493;23322;102
393.371;23366;99
348.777;23332;94
226.279;23260;113
139.702;23299;100
270.188;23350;105
140.882;23266;92
606.161;23350;101
229.521;23296;109
329.662;23355;114
256.286;23330;87
191.280;23351;105
203.170;23349;84
287.987;23343;107
319.112;23298;95
264.648;23352;109
270.725;23366;103
422.589;23326;99
169.672;23299;94
217.604;23280;95
318.407;23358;104
234.551;23313;113
358.688;23303;105
232.914;23331;109
238.307;23322;105
327.129;23362;104
179.039;23314;91
201.492;23322;87
174.374;23324;95
174.216;23299;94
245.228;23327;92
218.646;23329;108
177.823;23230;99
178.949;23303;94
214.376;23309;99
113.039;23244;88
412.625;23364;110
365.979;23339;101
258.206;23315;107
219.951;23311;92
135.638;23308;98
235.635;23352;118
218.108;23294;98
250.695;23313;110
410.886;23334;116
274.826;23310;114
225.815;23316;109
194.404;23356;93
289.992;23282;97
184.393;23299;90
146.981;23279;87
431.544;23338;115
215.342;23336;108
179.839;23249;94
265.847;23361;97
176.752;23289;90
263.080;23289;100
111.421;23242;87
328.246;23310;104
381.248;23318;116
229.365;23338;114
239.130;23290;96
411.116;23355;99
386.138;23331;113
158.793;23260;113
204.137;23300;101
255.423;23330;86
173.176;23310;108
215.712;23286;110
268.553;23274;92
222.556;23287;103
293.251;23312;99
221.544;23310;108
266.874;23302;108
239.558;23348;101
303.358;23329;95
286.218;23353;93
245.361;23217;97
162.803;23299;97
248.363;23313;103
295.165;23334;105
232.510;23349;121
225.102;23341;115
234.077;23309;99
328.169;23384;105
221.782;23325;80
393.032;23350;118
259.618;23292;97
267.160;23354;113
311.557;23313;105
183.439;23316;97
269.010;23300;89
390.664;23333;112
224.152;23217;99
310.527;23363;101
397.738;23331;118
352.275;23339;109
337.017;23305;100
163.398;23300;115
318.496;23361;90
370.051;23320;91
175.868;23298;91
320.712;23288;113
357.561;23314;121
216.422;23352;101
482.728;23353;103
174.034;23255;115
174.383;23305;108
169.372;23305;93
207.867;23291;92
241.267;23294;94
235.448;23307;109
207.708;23263;99
238.113;23288;103
144.951;23181;111
336.667;23351;103
291.493;23333;101
309.897;23317;93
260.096;23320;106
170.267;23300;90
219.316;23315;94
230.535;23336;92
186.960;23341;88
263.100;23329;115
209.438;23382;108
292.269;23310;92
208.218;23349;111
366.881;23313;94
209.440;23277;95
203.475;23333;92
199.058;23329;105
152.098;23246;98
256.918;23260;81
339.466;23365;104
242.393;23299;99
207.462;23313;94
307.108;23350;112
206.062;23306;96
364.409;23336;102
212.000;23307;97
299.101;23308;111
204.700;23303;103
396.624;23292;93
195.134;23309;108
306.047;23337;96
343.606;23351;113
184.764;23295;97
154.120;23316;81
267.840;23336;105
432.779;23350;109
259.174;23283;122
261.235;23325;103
269.801;23333;115
327.469;23365;94
120.532;23283;114
245.422;23323;87
175.537;23297;90
185.036;23272;89
216.822;23349;119
296.995;23350;90
323.055;23302;113
478.046;23319;101
230.167;23320;102
258.586;23337;99
250.725;23305;112
181.995;23350;82
130.527;23282;92
257.097;23299;122
205.471;23320;96
138.822;23313;95
317.030;23309;103
241.764;23288;105
196.766;23327;113
281.241;23316;120
194.698;23345;101
319.847;23326;103
165.870;23349;105
275.247;23363;104
357.530;23323;98
177.943;23273;102
253.816;23284;86
230.022;23340;92
330.862;23342;93
220.984;23343;114
182.365;23313;119
266.088;23317;102
204.982;23273;90
196.562;23278;98
313.483;23341;88
212.385;23338;102
215.842;23348;85
238.430;23337;92
227.394;23304;103
202.937;23365;107
193.461;23300;103
120.808;23340;88
306.029;23332;102
224.219;23345;105
159.739;23279;97
223.904;23324;100
167.651;23324;113
268.182;23320;98
410.615;23334;103
255.240;23374;86
120.557;23275;100
246.202;23356;102
284.423;23315;105
222.150;23276;109
246.611;23338;104
125.006;23273;93
251.869;23316;94
431.057;23332;90
209.908;23357;97
425.588;23353;108
480.796;23331;101
333.618;23308;106
278.412;23378;100
166.972;23350;85
168.907;23281;106
440.567;23353;96
554.876;23324;110
164.715;23278;93
226.557;23303;98
189.404;23286;93
247.859;23329;94
250.901;23302;89
358.735;23351;112
244.023;23351;107
122.528;23288;87
164.821;23322;92
172.103;23304;91
193.179;23306;94
178.324;23334;95
147.625;23240;96
229.801;23349;97
199.813;23330;96
286.295;23317;106
224.726;23246;108
276.023;23374;110
237.099;23350;114
313.116;23324;98
200.375;23319;113
241.174;23341;105
110.238;23260;78
266.609;23301;89
176.121;23340;99
218.456;23351;104
260.976;23319;100
267.677;23322;87
340.651;23362;110
522.408;23374;112
214.879;23335;85
222.297;23323;89
147.462;23335;97
140.521;23297;92
225.973;23301;107
288.789;23354;102
140.704;23243;95
223.943;23352;110
291.239;23308;97
340.828;23350;117
309.998;23356;112
208.184;23316;99
242.003;23319;104
391.009;23358;120
207.028;23315;96
283.527;23350;102
174.373;23317;102
262.960;23349;103
174.351;23308;101
146.375;23297;87
385.545;23343;104
270.510;23361;100
328.703;23352;110
139.594;23272;109
183.784;23308;99
279.531;23334;97
197.401;23323;91
391.329;23336;108
175.005;23275;98
330.032;23324;108
290.887;23325;100
200.219;23315;98
189.378;23343;103
339.817;23362;119
185.342;23272;95
206.531;23266;108
211.987;23288;93
298.578;23348;91
269.308;23331;103
225.442;23316;95
222.271;23344;97
156.344;23306;100
154.544;23284;98
292.033;23309;107
113.377;23329;96
288.059;23302;108
130.564;23278;97
264.426;23321;100
215.802;23319;102
263.334;23319;106
178.068;23315;91
124.707;23300;80
219.998;23338;107
268.955;23384;111
431.600;23315;119
245.008;23339;99
272.705;23323;99
426.196;23350;110
159.713;23256;115
348.424;23367;107
344.130;23315;99
335.112;23378;111
165.718;23260;96
291.007;23300;105
235.950;23286;98
263.257;23310;100
275.116;23309;97
315.457;23374;109
301.833;23361;104
178.712;23290;91
237.785;23318;94
259.122;23361;105
200.753;23326;111
264.600;23317;99
163.085;23290;105
180.806;23369;118
220.845;23312;121
232.974;23330;104
246.479;23267;87
268.238;23344;110
192.861;23312;107
147.274;23286;89
258.454;23288;104
237.976;23343;116
253.791;23358;108
342.924;23319;100
263.002;23346;101
150.371;23332;82
192.088;23335;94
271.837;23378;105
379.022;23345;112
264.614;23362;111
280.374;23330;103
325.329;23312;112
192.578;23275;103
416.191;23365;104
184.351;23268;92
329.540;23344;92
281.053;23338;96
178.713;23291;87
199.828;23307;94
397.057;23328;111
198.555;23326;108
481.441;23361;115
295.458;23322;109
361.623;23353;112
379.941;23358;109
150.441;23330;91
248.107;23340;93
275.989;23310;109
402.292;23346;118
380.358;23350;106
338.077;23329;109
240.046;23307;104
197.815;23318;100
264.680;23324;116
432.778;23350;98
186.461;23281;97
227.060;23347;109
