run_id;startPoints;endPoints
1;12533;23313
2;12218;23293
3;12871;23292
4;11387;23237
5;11333;23288
6;11691;23159
7;11807;23166
8;12345;23281
9;10997;23131
10;12239;23241
11;11231;23327
12;12415;23280
13;11714;23260
14;11343;23082
15;12258;23282
16;11236;23318
17;11791;23240
18;11427;23308
19;11260;23116
20;11542;23100
21;11010;23307
22;12257;23322
23;12873;23255
24;10730;23299
25;11114;23158
26;11821;23250
27;12977;23264
28;11569;23263
29;10848;23351
30;12237;23240
31;10911;23232
32;12264;23301
33;11449;23127
34;11276;23266
35;11148;23233
36;10331;23178
37;11046;23273
38;11522;23244
39;12822;23167
40;11989;23212
41;12403;23186
42;12496;23364
43;11661;23249
44;11401;23294
45;12832;23308
46;11965;23110
47;11646;23163
48;11580;23282
49;13125;23273
50;11905;23220
51;12610;23300
52;10910;23212
53;11407;23208
54;11509;23251
55;12341;23321
56;12682;23287
57;12633;23267
58;10676;23292
59;11919;23278
60;12651;23217
61;12906;23228
62;12327;23264
63;12747;23257
64;11642;23291
65;10169;23223
66;11013;23343
67;11524;23194
68;12507;23275
69;11739;23271
70;13421;23301
71;11027;23287
72;12120;23272
73;10954;23246
74;12852;23091
75;11751;23275
76;11122;23224
77;11758;23197
78;12463;23114
79;11643;23361
80;11612;23292
81;12530;23305
82;11130;23151
83;12518;23183
84;12695;23254
85;10639;23227
86;12098;23296
87;11877;23241
88;12442;23288
89;12569;23109
90;11732;23336
91;11510;23249
92;12350;23154
93;11915;23294
94;12715;23205
95;12792;23215
96;12260;23304
97;11859;23290
98;12843;23337
99;12891;23291
100;11650;23293
101;13033;23260
102;12076;23295
103;12386;23245
104;12931;23167
105;13255;23317
106;11222;23351
107;11361;23352
108;12461;23201
109;11132;23309
110;11577;23266
111;12575;23209
112;11392;23253
113;11052;23247
114;12570;23228
115;11627;23250
116;12450;23280
117;11794;23262
118;12695;23299
119;11818;23296
120;12731;23135
121;13200;23307
122;13490;23306
123;11182;23308
124;13315;23284
125;11237;23041
126;12582;23302
127;11686;23278
128;13094;23314
129;12307;23248
130;12699;23275
131;12295;23305
132;13325;23208
133;10946;23221
134;11369;23235
135;11029;23239
136;11741;23256
137;12079;23244
138;11845;23303
139;11274;23209
140;11009;23308
141;11856;23277
142;11783;23034
143;11685;23258
144;11101;23200
145;13041;23287
146;12457;23257
147;11241;23348
148;11642;23316
149;11231;23253
150;12870;23236
151;12854;23329
152;12012;23273
153;11990;23317
154;11925;23259
155;12355;23207
156;12025;23293
157;12506;23261
158;12766;23196
159;11396;23269
160;12098;23272
161;10837;23325
162;11797;23277
163;11876;23315
164;12688;23308
165;10628;23289
166;12214;23296
167;12320;23215
168;13489;23170
169;13042;23281
170;11551;23342
171;12094;23223
172;11212;23238
173;10905;23300
174;11581;23335
175;12129;23302
176;11595;23359
177;11678;23191
178;13216;23274
179;11938;23290
180;11434;23216
181;12252;23264
182;13031;23225
183;11750;23248
184;12725;23198
185;10935;23313
186;12298;23201
187;11812;23265
188;11761;23229
189;10771;23299
190;12413;23190
191;13160;23318
192;10593;23229
193;12600;23124
194;11468;23220
195;11901;23289
196;12021;23118
197;11879;23183
198;11258;23208
199;10845;23283
200;11011;23294
201;11076;23237
202;11601;23111
203;12056;23234
204;11886;23209
205;10436;23252
206;12467;23254
207;10967;23312
208;11822;23275
