run_id;iteration;points
1;1;12037
1;2;12587
1;3;13162
1;4;13731
1;5;14302
1;6;14333
1;7;14844
1;8;14955
1;9;15553
1;10;16045
1;11;16140
1;12;16710
1;13;16728
1;14;17282
1;15;17302
1;16;17305
1;17;17311
1;18;17428
1;19;17440
1;20;17988
1;21;18432
1;22;18452
1;23;18565
1;24;18573
1;25;19065
1;26;19085
1;27;19150
1;28;19164
1;29;19185
1;30;19205
2;1;13172
2;2;13723
2;3;13734
2;4;13784
2;5;14435
2;6;15067
2;7;15525
2;8;15551
2;9;16081
2;10;16599
2;11;16630
2;12;16690
2;13;16708
2;14;17189
2;15;17306
2;16;17334
2;17;17643
2;18;17693
2;19;17758
2;20;18217
2;21;18277
2;22;18281
2;23;18372
2;24;18392
2;25;18410
2;26;18459
2;27;18487
2;28;18489
2;29;19035
2;30;19042
2;31;19051
2;32;19052
2;33;19106
2;34;19126
2;35;19135
3;1;11337
3;2;11888
3;3;12380
3;4;13003
3;5;13586
3;6;14108
3;7;14221
3;8;14797
3;9;14825
3;10;14866
3;11;15248
3;12;15283
3;13;15698
3;14;15797
3;15;15828
3;16;15849
3;17;15869
3;18;15986
3;19;16046
3;20;16621
3;21;17068
3;22;17102
3;23;17215
3;24;17329
3;25;17771
3;26;17812
3;27;18247
3;28;18360
3;29;18378
3;30;18406
3;31;18417
3;32;18443
3;33;18503
3;34;18523
3;35;18572
3;36;19007
3;37;19102
3;38;19135
4;1;12569
4;2;13210
4;3;13781
4;4;14212
4;5;14240
4;6;14281
4;7;14376
4;8;14999
4;9;15426
4;10;15977
4;11;16320
4;12;16433
4;13;16591
4;14;17160
4;15;17220
4;16;17238
4;17;17814
4;18;17834
4;19;17931
4;20;18045
4;21;18056
4;22;18076
4;23;18596
4;24;18627
4;25;19099
4;26;19146
4;27;19175
4;28;19195
4;29;19204
4;30;19205
4;31;19213
5;1;12781
5;2;13127
5;3;13649
5;4;13702
5;5;14194
5;6;14211
5;7;14229
5;8;14911
5;9;14940
5;10;15460
5;11;16036
5;12;16542
5;13;16573
5;14;16948
5;15;17563
5;16;17680
5;17;17777
5;18;17797
5;19;17825
5;20;17874
5;21;17921
5;22;17960
5;23;18510
5;24;18559
5;25;18600
5;26;19013
5;27;19077
5;28;19112
5;29;19155
6;1;13283
6;2;13396
6;3;13920
6;4;14461
6;5;14569
6;6;15171
6;7;15200
6;8;15563
6;9;15658
6;10;16091
6;11;16678
6;12;16791
6;13;16819
6;14;16848
6;15;17321
6;16;17438
6;17;18009
6;18;18338
6;19;18812
6;20;18830
6;21;18890
6;22;18918
6;23;18976
6;24;18996
6;25;18998
