run_id;startPoints;endPoints
1;11449;17183
2;12684;17217
3;13499;17102
4;11718;17187
5;12373;17192
6;10800;17181
7;11948;17175
8;11073;17170
9;13156;17150
10;13559;17181
11;11834;17192
12;14052;17217
13;11888;17192
14;11104;17222
15;12634;17156
16;13472;17181
17;12547;17222
18;12448;17170
19;13367;17185
20;10001;17150
21;12554;17163
22;12807;17217
23;10636;17222
24;12671;17215
25;13099;17220
26;12497;17152
27;11130;17140
28;12341;17181
29;12397;17194
30;12982;17226
31;13444;17152
32;11051;17181
33;12231;17222
34;11094;17222
35;13745;17163
36;12675;17187
37;13386;17215
38;13028;17206
39;15092;17163
40;10342;17186
41;12707;17092
42;14124;17114
43;15312;17228
44;13506;17171
45;12266;17186
46;13917;17146
47;10870;17194
48;12121;17217
49;12841;17226
50;14594;17192
51;13497;17192
52;13684;17228
53;13463;17183
54;11530;17185
55;12578;17150
56;14354;17226
57;11978;17228
58;12600;17163
59;10879;17119
60;12884;17084
61;12897;17228
62;11776;17186
63;12332;17186
64;11249;17206
65;11789;17140
66;11973;17228
67;10520;17152
68;10304;17226
69;13349;17192
70;12684;17181
71;9668;17199
72;13670;17192
73;11485;17150
74;12825;17217
75;13676;17143
76;14739;17222
77;13474;17181
78;12405;17176
79;12840;17126
80;12950;17149
81;13176;17172
82;12313;17175
83;12000;17200
84;12022;17222
85;11317;17139
86;13538;17222
87;13240;17192
88;10881;17222
89;12828;17222
90;10757;17136
91;12754;17167
92;11162;17175
93;10194;17124
94;13912;17163
95;11711;17076
96;13474;17098
97;13247;17220
98;11553;17117
99;13564;17202
100;10688;17217
101;11954;17181
102;11246;17115
103;11872;17163
104;12061;17163
105;11218;17222
106;12762;17181
107;12386;17192
108;12072;17150
109;11783;17183
110;11892;17194
111;12830;17181
112;12688;17183
113;11754;17165
114;11198;17181
115;12945;17206
116;12849;17194
117;12417;17078
118;12871;17187
119;11822;17192
120;13321;17176
121;13296;17228
122;9765;17202
123;11633;17200
124;12167;17187
125;13566;17079
126;12133;17161
127;11019;17174
128;13204;17192
129;14460;17228
130;10692;17085
131;11990;17137
132;12073;17217
133;12484;17139
134;10945;17179
135;9418;17186
136;12214;17158
137;13425;17186
138;12379;17181
139;10917;17151
140;10993;17187
141;12379;17181
142;11927;17191
143;13023;17118
144;12477;17163
145;11435;17152
146;13589;17181
147;11478;17183
148;12022;17163
149;11529;17181
150;12942;17161
151;11992;17226
152;13221;17170
153;12055;17228
154;12356;17226
155;11645;17163
156;10282;17196
157;13249;17215
158;11310;17217
159;13108;17172
160;13921;17135
161;12851;17228
162;11225;17202
163;12869;17191
164;13341;17185
165;12015;17202
166;10512;17183
167;13622;17181
168;11619;17228
169;12739;17217
170;13056;17186
171;13282;17146
172;10656;17135
173;12473;17172
174;12305;17181
175;10550;17181
176;12247;17217
177;12048;17136
178;11605;17181
179;10116;17171
180;10370;17226
181;10978;17177
182;11369;17160
183;11872;17070
184;14592;17181
185;12674;17157
186;12405;17181
187;11526;17217
188;10468;17181
189;13320;17217
190;12591;17217
191;11706;17226
192;13582;17144
193;14169;17222
194;12050;17222
195;13083;17153
196;11302;17118
197;12828;17217
198;12428;17144
199;13124;17228
200;14340;17192
201;10761;17215
202;12961;17137
203;10814;17206
204;10794;17183
205;10987;17192
206;10433;17149
207;12263;17183
208;9512;17222
209;13329;17186
210;12815;17217
211;12261;17215
212;13097;17196
213;12149;17226
214;11112;17222
215;12769;17145
216;10207;17157
217;13951;17222
218;12109;17177
219;13213;17168
220;11749;17217
221;11438;17145
222;11787;17186
223;10896;17202
224;11866;17226
225;13106;17222
226;13501;17222
227;11121;17148
228;14094;17228
229;12519;17222
230;11573;17183
231;12649;17135
232;12716;17183
233;14012;17185
234;12082;17228
235;12283;17202
236;12222;17192
237;12503;17220
238;12818;17144
239;12192;17144
240;13542;17185
241;10662;17183
242;13040;17171
243;13922;17183
244;14407;17171
245;10879;17181
246;10570;17171
247;11609;17220
248;11526;17136
249;12993;17172
250;12226;17186
251;11774;17205
252;11891;17158
253;10886;17186
254;12087;17152
255;12743;17175
256;12923;17217
257;12511;17172
258;12753;17181
259;12329;17175
260;11290;17217
261;11157;17191
262;10627;17228
263;11695;17169
264;11962;17191
265;10211;17192
266;12884;17220
267;9405;17168
268;11414;17172
269;13397;17183
270;11910;17192
271;11850;17226
272;11089;17176
273;14026;17135
274;10328;17164
275;11452;17222
276;11241;17202
277;12301;17222
278;14106;17161
279;11852;17220
280;12642;17181
281;12370;17192
282;11119;17228
283;11716;17183
284;12141;17152
285;12242;17170
286;12165;17222
287;12734;17183
288;12405;17163
289;10610;17135
290;13362;17183
291;12823;17228
292;13568;17226
293;13549;17176
294;12523;17183
295;11205;17181
296;11093;17187
297;12310;17185
298;11732;17206
299;12087;17181
300;10787;17181
301;13735;17137
302;11070;17130
303;12080;17151
304;12209;17181
305;11405;17143
306;13112;17176
307;12167;17222
308;14306;17161
309;14049;17183
310;12695;17220
311;13589;17177
312;12311;17151
313;12703;17175
314;14033;17206
315;12410;17182
316;12289;17220
317;13369;17183
318;10375;17217
319;11182;17196
320;13531;17183
321;13384;17222
322;11728;17220
323;11818;17183
324;11960;17152
325;11986;17181
326;10295;17192
327;12438;17177
328;12012;17181
329;13358;17146
330;12482;17192
331;12494;17154
332;9555;17137
333;13283;17222
334;12642;17228
335;10394;17137
336;10766;17206
337;13750;17176
338;10555;17192
339;12787;17192
340;12269;17183
341;10396;17228
342;12193;17215
343;13887;17192
344;11769;17181
345;14355;17128
346;12714;17222
347;12076;17161
348;12825;17108
349;11005;17186
350;12006;17228
351;13075;17163
352;11780;17183
353;12242;17149
354;13023;17183
355;11841;17163
356;11368;17172
357;12589;17206
358;12606;17198
359;10983;17099
360;11318;17171
361;12554;17192
362;13025;17222
363;13133;17217
364;12288;17181
365;11173;17186
366;12606;17222
367;10688;17228
368;11605;17181
369;11409;17181
370;11700;17103
371;13421;17215
372;14164;17170
373;13668;17143
374;10798;17228
375;12368;17228
376;9656;17192
377;12888;17192
378;11259;17186
379;13502;17191
380;12699;17078
381;11916;17149
382;12499;17191
383;12895;17183
384;11765;17192
385;11998;17183
386;12014;17163
387;12166;17151
388;12160;17186
389;12150;17186
390;10798;17186
391;12283;17222
392;13416;17135
393;14103;17200
394;13924;17170
395;14331;17058
396;12191;17168
397;11047;17135
398;9611;17168
399;13333;17103
400;11276;17181
401;11493;17172
402;12636;17175
403;10621;17141
404;11283;17153
405;12809;17152
406;11326;17215
407;11768;17179
408;12045;17217
409;10799;17217
410;13102;17183
411;11583;17202
412;11577;17170
413;12643;17124
414;11478;17220
415;13440;17192
416;13518;17183
417;12245;17181
418;11154;17194
419;13142;17137
420;13028;17186
421;11106;17226
422;11854;17187
423;12623;17135
424;12638;17139
425;12414;17142
426;11474;17217
427;10594;17139
428;12434;17222
429;12788;17222
430;11218;17192
431;11817;17228
432;11457;17186
433;9822;17183
434;10685;17217
435;13150;17181
436;12850;17176
437;12370;17226
438;12685;17183
439;12978;17183
440;11825;17175
441;12407;17012
442;11212;17217
443;12263;17228
444;10680;17217
445;12886;17185
446;13031;17192
447;14137;17183
448;12272;17217
449;13203;17187
450;10491;17186
451;9846;17222
452;11387;17181
453;12500;17186
454;12856;17215
455;11228;17226
456;13732;17217
457;12238;17139
458;11863;17226
459;11147;17228
460;12197;17186
461;14338;17226
462;11538;17101
463;12500;17161
464;12634;17186
465;12915;17228
466;11526;17182
467;12825;17226
468;13252;17228
469;11487;17144
470;11806;17220
471;10147;17192
472;12907;17191
473;11724;17175
474;14117;17135
475;13562;17226
476;13798;17222
477;13453;17120
478;11395;17226
479;11692;17186
480;12620;17183
481;10999;17051
482;13182;17217
483;11330;17156
484;11792;17228
485;12583;17157
486;11088;17181
487;12513;17165
488;12476;17186
489;14328;17217
490;11323;17181
491;12760;17177
492;12789;17140
493;13414;17228
494;12423;17168
495;14832;17192
496;14111;17217
497;13547;17183
498;11842;17172
499;12726;17176
500;12502;17181
501;9501;17181
502;12276;17176
503;11795;17186
504;10748;17183
505;11259;17150
506;12487;17192
507;13037;17192
508;13695;17192
509;12552;17226
510;12638;17182
511;11160;17222
512;11974;17114
513;12142;17192
514;12508;17181
515;9759;17222
516;13037;17228
517;12330;17217
518;10932;17226
519;12333;17228
520;11726;17181
521;13868;17226
522;13104;17170
523;12852;17088
524;11950;17202
525;11147;17150
526;10742;17222
527;12501;17146
528;10480;17217
529;12006;17202
530;12618;17181
531;12850;17158
532;11385;17150
533;12527;17171
534;12601;17186
535;12227;17123
536;12999;17183
537;11119;17187
538;10808;17192
539;10605;17222
540;12879;17161
541;12932;17192
542;12728;17144
543;11202;17163
544;11995;17202
545;12007;17228
546;11320;17186
547;12795;17192
548;12522;17183
549;13397;17206
550;12663;17152
551;12381;17186
552;12620;17161
553;12400;17181
554;12638;17183
555;12190;17181
556;14060;17192
557;12292;17183
558;12374;17215
559;13109;17185
560;11344;17228
561;9949;17170
562;13606;17217
563;12756;17217
564;12307;17228
565;12985;17152
566;11200;17194
567;13127;17181
568;11555;17217
569;12129;17222
570;13172;17088
571;11840;17220
572;12165;17186
573;13355;17152
574;12674;17182
575;10219;17170
576;12890;17217
577;13167;17137
578;11765;17198
579;11552;17200
580;12502;17228
581;8604;17164
582;10207;17139
583;12827;17183
584;12264;17149
585;13633;17192
586;12495;17140
