run_id;startPoints;endPoints
1;10365;15553
2;11518;15562
3;10304;15585
4;11433;15561
5;9885;15585
6;10327;15585
7;11529;15585
8;11795;15585
9;11065;15549
10;12367;15562
11;9444;15585
12;10121;15585
13;9447;15544
14;10638;15585
15;11449;15562
16;11890;15585
17;10037;15562
18;12404;15585
19;10684;15585
20;12496;15585
21;11235;15544
22;11518;15561
23;10771;15585
24;8948;15562
25;11231;15561
26;11779;15562
27;10975;15585
28;10158;15585
29;11342;15562
30;9709;15562
31;10449;15585
32;11392;15562
33;10947;15585
34;11295;15562
35;10735;15585
36;9252;15585
37;9031;15585
38;10577;15585
39;11350;15585
40;12164;15562
41;10512;15585
42;11810;15585
43;11138;15549
44;11583;15562
45;9134;15585
46;10139;15585
47;10446;15585
48;10122;15585
49;11926;15585
50;9045;15585
51;11050;15585
52;11533;15562
53;12253;15585
54;9321;15561
55;11666;15585
56;11610;15585
57;9468;15585
58;10801;15585
59;10491;15544
60;8544;15585
61;9251;15562
62;9879;15562
63;10709;15585
64;8915;15561
65;10109;15585
66;10107;15585
67;11336;15585
68;10556;15585
69;11118;15562
70;11057;15585
71;12788;15585
72;9361;15585
73;10664;15585
74;10296;15585
75;9462;15585
76;12168;15585
77;9757;15562
78;10055;15561
79;9656;15562
80;12519;15585
81;11485;15585
82;11479;15585
83;12650;15562
84;10475;15585
85;10634;15561
86;10043;15562
87;9987;15553
88;9740;15585
89;10038;15585
90;10927;15585
91;10875;15562
92;9619;15562
93;10501;15548
94;8272;15585
95;9258;15585
96;10135;15585
97;8997;15585
98;9079;15585
99;9644;15585
100;10126;15585
101;10511;15585
102;10931;15585
103;10221;15585
104;11415;15544
105;10614;15548
106;11307;15585
107;10233;15562
108;9995;15562
109;10184;15585
110;9911;15585
111;12229;15585
112;8878;15585
113;11778;15585
114;11118;15585
115;10267;15562
116;9159;15585
117;10564;15561
118;8603;15562
119;10840;15585
120;11214;15561
121;10419;15562
122;10384;15561
123;10916;15585
124;9650;15562
125;10099;15585
126;10024;15585
127;11238;15585
128;9621;15585
129;12869;15585
130;10407;15585
131;10401;15561
132;11362;15585
133;11089;15544
134;12237;15561
135;12040;15585
136;10581;15562
137;9147;15561
138;11673;15585
139;10627;15585
140;11304;15585
141;10995;15585
142;10575;15585
143;10096;15562
144;9673;15544
145;13027;15585
146;10105;15585
147;10737;15553
148;11974;15585
149;11330;15562
150;11359;15585
151;10449;15585
152;11728;15585
153;10578;15585
154;11430;15544
155;10773;15544
156;10035;15585
157;9509;15585
158;11461;15585
159;9679;15585
160;9830;15585
161;9596;15585
162;11072;15585
163;11620;15585
164;8119;15562
165;11440;15562
166;10692;15585
167;9208;15585
168;12730;15553
169;10252;15561
170;10072;15585
171;11119;15585
172;10435;15585
173;9862;15585
174;12321;15562
175;11516;15585
176;12526;15585
177;11853;15585
