run_id;startPoints;endPoints
1;12037;19205
2;13172;19135
3;11337;19135
4;12569;19213
5;12781;19155
6;13283;19135
7;15040;19135
8;12223;19135
9;10015;19213
10;14014;19127
11;12697;19127
12;12847;19205
13;10915;19155
14;12913;19127
15;9947;19213
16;13429;19213
17;13388;19205
18;12163;19205
19;13694;19135
20;13177;19213
21;11674;19164
22;12700;19205
23;14219;19135
24;11647;19213
25;15534;19205
26;10904;19213
27;12632;19136
28;14217;19135
29;10037;19135
30;15143;19155
31;8024;19205
32;11502;19213
33;11766;19136
34;12141;19213
35;15121;19135
36;11615;19127
37;14641;19126
38;11061;19135
39;12050;19213
40;11615;19136
41;11187;19205
42;12207;19127
43;15058;19205
44;13086;19126
45;12610;19127
46;12707;19213
47;14150;19155
48;10576;19127
49;12537;19213
50;11354;19136
51;11728;19126
52;13805;19213
53;12789;19205
54;11881;19213
55;13938;19205
56;11924;19205
57;12829;19205
58;13140;19213
59;10529;19127
60;13133;19213
61;11012;19164
62;13785;19136
63;13224;19213
64;12690;19213
65;14180;19213
66;13051;19155
67;15535;19213
68;12809;19155
69;14832;19205
70;11696;19135
71;12261;19205
72;14349;19127
73;10611;19155
74;11559;19213
75;12666;19135
76;12828;19126
77;12619;19135
78;12616;19155
79;10540;19164
80;12853;19136
81;12029;19135
82;11475;19164
83;13629;19164
84;10265;19213
85;13693;19205
86;12849;19205
87;14396;19213
88;11148;19213
89;10660;19127
90;14427;19213
91;10549;19155
92;10552;19135
93;10865;19205
94;9528;19213
95;12740;19135
96;12789;19213
97;11821;19155
98;12581;19213
99;13060;19135
100;11979;19155
101;12962;19213
102;11191;19205
103;14940;19213
104;10914;19117
105;10769;19136
106;9913;19205
107;11577;19205
108;13871;19213
109;11471;19213
110;12510;19126
111;12059;19135
112;11225;19205
113;13194;19213
114;11424;19136
115;11097;19135
116;9632;19205
117;13686;19135
118;11643;19205
119;10733;19136
120;10795;19136
121;13780;19135
122;12750;19205
123;13341;19205
124;11621;19126
125;10986;19205
126;12144;19213
127;11477;19213
128;10512;19126
129;12319;19136
130;11751;19135
131;12752;19135
132;11650;19126
133;13468;19135
134;11635;19205
135;13948;19126
136;12778;19213
137;13262;19136
138;10836;19164
139;9782;19126
140;12248;19155
141;14748;19213
142;13164;19136
143;11048;19126
144;12389;19135
145;12597;19213
146;11847;19213
147;13945;19136
148;12252;19205
149;14836;19126
150;13052;19135
151;13215;19213
152;12511;19205
153;15613;19135
154;9731;19205
155;14914;19205
156;11081;19213
157;13452;19136
158;11630;19135
159;12710;19205
160;10893;19135
161;11622;19136
162;12791;19135
163;10811;19213
164;11144;19213
165;9875;19213
166;11254;19135
167;11646;19136
168;11604;19213
169;15369;19213
170;12201;19126
171;13883;19205
172;12393;19164
173;13643;19205
174;13231;19213
175;10910;19164
176;16780;19135
177;10411;19213
178;13719;19076
179;11708;19135
180;13462;19213
181;11729;19213
182;11009;19213
183;13710;19136
184;13041;19213
185;13719;19127
186;13257;19213
187;11273;19213
188;12754;19135
189;12681;19213
190;11083;19135
191;11873;19213
192;11440;19205
193;9535;19135
