run_id;startPoints;endPoints
1;12533;23325
2;11656;23313
3;11419;23350
4;10943;23330
5;12335;23306
6;12201;23336
7;12073;23298
8;12207;23315
9;12004;23296
10;12220;23305
11;11752;23305
12;12029;23271
13;12710;23329
14;12161;23295
15;11644;23323
16;12018;23277
17;11801;23291
18;12693;23320
19;11863;23314
20;12140;23355
21;11950;23318
22;10484;23350
23;12175;23370
24;11309;23306
25;11508;23274
26;12904;23338
27;13033;23315
28;11780;23338
29;12011;23237
30;12306;23324
31;11698;23356
32;11328;23311
33;11801;23341
34;11748;23344
35;12334;23299
36;12135;23299
37;13326;23344
38;10769;23312
39;12723;23308
40;12117;23289
41;10796;23293
42;11155;23331
43;11164;23302
44;12564;23311
45;12129;23374
46;11833;23295
47;12077;23328
48;11588;23363
49;11877;23315
50;12256;23299
51;12453;23314
52;13169;23317
53;12406;23289
54;11565;23299
55;12177;23317
56;12777;23328
57;11965;23350
58;11819;23319
59;10975;23319
60;11349;23281
61;12025;23277
62;11341;23328
63;10515;23363
64;12145;23323
65;12406;23321
66;11202;23279
67;11810;23310
68;13314;23351
69;11993;23277
70;12483;23169
71;11576;23342
72;12390;23309
73;13717;23315
74;11559;23302
75;11990;23361
76;12487;23282
77;11971;23358
78;11776;23348
79;11230;23353
80;10756;23310
81;10974;23278
82;11862;23308
83;11730;23322
84;11971;23366
85;11064;23335
86;12780;23362
87;10610;23348
88;11729;23351
89;11556;23368
90;11682;23235
91;11870;23369
92;11457;23275
93;12996;23295
94;12292;23326
95;10916;23348
96;11359;23331
97;11725;23309
98;11253;23356
99;10687;23285
100;12499;23357
101;11431;23288
102;10592;23349
103;11558;23298
104;11689;23319
105;10490;23316
106;11456;23329
107;11817;23318
108;11696;23349
109;11488;23288
110;11718;23348
111;11597;23285
112;11753;23330
113;13004;23347
114;12696;23360
115;12410;23321
116;12568;23369
117;13127;23316
118;11580;23338
119;12335;23316
120;10758;23366
121;11748;23299
122;11554;23333
123;11882;23293
124;12780;23292
125;12234;23284
126;11867;23351
127;10452;23308
128;11566;23322
129;12481;23358
130;11639;23368
131;12313;23350
132;13166;23302
133;12103;23334
134;11986;23306
135;13280;23320
136;12583;23330
137;12008;23364
138;11177;23330
139;12607;23337
140;11992;23355
141;11407;23324
142;10324;23312
143;11948;23297
144;12338;23346
145;11663;23263
146;12495;23324
147;11801;23330
148;11924;23284
149;11197;23298
150;12258;23255
151;12223;23252
152;12522;23316
153;11013;23341
154;11836;23314
155;11365;23331
156;11901;23319
157;11875;23339
158;12541;23312
159;10449;23355
160;12513;23370
161;11403;23331
162;11718;23325
163;11777;23343
164;11369;23308
165;11561;23300
166;11625;23302
167;11339;23295
168;11621;23306
169;12296;23306
170;12489;23263
171;11255;23354
172;11245;23314
173;11868;23272
174;11283;23320
175;13071;23352
176;11790;23374
177;10864;23364
178;12651;23312
179;12370;23279
180;12916;23316
181;10876;23312
182;11537;23350
183;12418;23314
184;11141;23348
185;11716;23301
186;12049;23358
187;12226;23308
188;10883;23294
189;11755;23352
190;11939;23374
191;12042;23304
192;10530;23297
193;12829;23332
194;11385;23323
195;11357;23363
196;11844;23296
197;12070;23284
198;11012;23364
199;11150;23303
200;12114;23350
201;13330;23310
202;10507;23278
203;10568;23215
204;10785;23322
205;11305;23331
206;10805;23368
207;12231;23303
208;11841;23344
209;11849;23329
210;11732;23320
211;11844;23321
212;11927;23297
213;13023;23308
214;11766;23301
215;12109;23306
216;11270;23314
217;12011;23298
218;11555;23325
219;12973;23315
220;12731;23296
221;11956;23376
222;12261;23309
223;13426;23258
224;12196;23342
225;12114;23307
226;11613;23365
227;12582;23287
228;12425;23358
229;11882;23265
230;10594;23315
231;10917;23262
232;11396;23318
233;12491;23319
234;11270;23362
235;11325;23322
236;11901;23294
237;12630;23312
238;12775;23316
239;11180;23247
240;11412;23326
241;11866;23317
242;10717;23306
243;11770;23323
244;11959;23344
245;11053;23293
246;12572;23324
247;11188;23315
248;11915;23294
249;12159;23355
250;11655;23297
251;12725;23244
252;12159;23350
253;12943;23330
254;11271;23269
255;11606;23340
256;10791;23295
257;12013;23253
258;13070;23277
259;11461;23295
260;11934;23360
261;13390;23362
262;12632;23307
263;13398;23321
264;12301;23326
265;11930;23301
266;12044;23316
267;12491;23345
268;12499;23322
269;11776;23309
270;12381;23326
271;11180;23314
272;12223;23304
273;10867;23343
274;12254;23265
275;12333;23281
276;9828;23312
277;12535;23307
278;13086;23309
279;11938;23338
280;12116;23242
281;12386;23294
282;12016;23359
283;11661;23368
284;12294;23297
285;11065;23257
286;11742;23313
287;12072;23278
288;11856;23340
289;11495;23301
290;11067;23327
291;10760;23363
292;11660;23324
293;12061;23340
294;12208;23281
295;11797;23216
296;11723;23303
297;12609;23259
298;12667;23324
299;11880;23291
300;12938;23309
301;11724;23289
302;11701;23270
303;12159;23328
304;13009;23270
305;11326;23358
306;12881;23281
307;11312;23321
308;11340;23287
309;12271;23312
310;12543;23288
311;11017;23346
312;11780;23334
313;10723;23360
314;11558;23361
315;13468;23360
316;12796;23283
317;10429;23351
318;10998;23286
319;11982;23311
320;10696;23279
321;12032;23319
322;13049;23312
323;12281;23374
324;12291;23350
325;12483;23303
326;13040;23315
327;12324;23331
328;11239;23335
329;12341;23338
330;11410;23335
331;10439;23363
332;11793;23287
333;10837;23341
334;11901;23338
335;11243;23312
336;11381;23329
337;10953;23316
338;12276;23303
339;11103;23345
340;11738;23374
341;10585;23307
342;10924;23312
343;12610;23331
344;13040;23361
345;11638;23332
346;11086;23348
347;11566;23301
348;11184;23299
349;12655;23348
350;10973;23327
351;11921;23347
352;11934;23327
353;12485;23280
354;11793;23337
355;11911;23384
356;11282;23319
357;11808;23284
358;11255;23316
359;12222;23313
360;11412;23286
361;11718;23302
362;11649;23293
363;13614;23311
364;11242;23309
365;10670;23319
366;11874;23337
367;12221;23328
368;11564;23362
369;11303;23344
370;11257;23312
371;11849;23289
372;11937;23368
373;12087;23317
374;11551;23314
375;12073;23294
376;11304;23317
377;12684;23348
378;13106;23352
379;11967;23316
380;11391;23364
381;11788;23292
382;12182;23337
383;10773;23355
384;11468;23295
385;11067;23353
386;12121;23345
387;11159;23300
388;11871;23313
389;11881;23304
390;11164;23326
391;10538;23318
392;12512;23324
393;12245;23245
394;11282;23304
395;12677;23341
396;12207;23271
397;11507;23310
398;12272;23374
399;11542;23319
400;11240;23313
401;12566;23353
402;12065;23286
403;12040;23331
404;11977;23352
405;12036;23316
406;11439;23350
407;11214;23360
408;11202;23348
409;11755;23306
410;12441;23309
411;12961;23326
412;10384;23259
413;11220;23260
414;12030;23330
415;11973;23273
416;12623;23342
417;11431;23384
418;11621;23315
419;12373;23279
420;11004;23288
421;12348;23382
422;11069;23304
423;11252;23365
424;12128;23311
425;11913;23355
426;11556;23290
427;11967;23338
428;11767;23316
429;11811;23301
430;11514;23350
431;12075;23352
432;12039;23316
433;12636;23340
434;12363;23299
435;11814;23325
436;12133;23313
437;11783;23329
438;11910;23364
439;11402;23248
440;12106;23363
441;13227;23301
442;11898;23295
443;11004;23294
444;11464;23334
445;11390;23275
446;12590;23333
447;11196;23317
448;12784;23384
449;10490;23357
450;13616;23332
451;12178;23350
452;12007;23347
453;12475;23325
454;12245;23291
455;12592;23259
456;12052;23269
457;10818;23374
458;11371;23318
459;10934;23300
460;12035;23318
461;13689;23344
462;12326;23285
463;11173;23314
464;12269;23312
465;11698;23330
466;11294;23232
467;10472;23309
468;12116;23363
469;12086;23295
470;11775;23329
471;11512;23291
472;11934;23345
473;11134;23340
474;12423;23375
475;10569;23327
476;12249;23285
477;12579;23335
478;12151;23317
479;12212;23355
480;13460;23305
481;11772;23254
482;11440;23352
483;11620;23346
484;12614;23238
485;11707;23299
486;10772;23316
487;12067;23374
488;11343;23265
489;12383;23341
490;12489;23331
491;13024;23333
492;12230;23295
493;13268;23295
494;11964;23358
495;10896;23296
496;12369;23321
497;10990;23333
498;11832;23298
499;10517;23322
500;11995;23309
501;12100;23301
502;11486;23341
503;12216;23338
504;11337;23295
505;12448;23350
506;12400;23328
507;11844;23315
508;10887;23273
509;11962;23325
510;11189;23299
511;11690;23350
512;12320;23299
513;11172;23364
514;13348;23313
515;12333;23316
516;13595;23324
517;12005;23305
518;12099;23305
519;11154;23329
520;12707;23363
521;10851;23333
522;11799;23326
523;12145;23278
524;12490;23316
525;10995;23334
526;12321;23306
527;11862;23345
528;12485;23176
529;11457;23328
530;11468;23382
531;11645;23349
532;12470;23286
533;11490;23289
534;11227;23311
535;11210;23245
536;11992;23326
537;11419;23343
538;12367;23355
539;11014;23368
540;12168;23329
541;12030;23338
542;10583;23357
543;12093;23348
544;11962;23316
545;12038;23363
546;12877;23305
547;12339;23314
548;11621;23323
549;10882;23289
550;12423;23374
551;11270;23319
552;12479;23275
553;11603;23300
554;11421;23330
555;11455;23276
556;11194;23309
557;12543;23254
558;11726;23326
559;11178;23325
560;12283;23318
561;13705;23317
562;11985;23287
563;11388;23346
564;10334;23351
565;11570;23357
566;12338;23342
567;12567;23259
568;10943;23292
569;11644;23340
570;12385;23320
571;11952;23364
572;12870;23323
573;11849;23330
574;10962;23279
575;12268;23313
576;12192;23317
577;12268;23335
578;11343;23313
579;11218;23341
580;12436;23342
581;12546;23345
582;13205;23323
583;11976;23309
584;12876;23313
585;11563;23352
586;11449;23374
587;10575;23327
588;11781;23368
589;11834;23294
590;11557;23290
591;13057;23352
592;11570;23298
593;13072;23296
594;12352;23353
595;12478;23239
596;12499;23343
597;12821;23329
598;11522;23332
599;11011;23296
600;11725;23296
601;11765;23272
602;11775;23328
603;12492;23318
604;12539;23271
605;11466;23237
606;11989;23260
607;11835;23309
608;12165;23327
609;12708;23287
610;12884;23311
611;10961;23340
612;11441;23320
613;13509;23320
614;11977;23311
615;10967;23242
