run_id;iteration;points
1;1;12199
1;2;12691
1;3;12694
1;4;12712
1;5;13259
1;6;13308
1;7;13822
1;8;14409
1;9;14430
1;10;14458
1;11;14572
1;12;15045
1;13;15675
1;14;16193
1;15;16795
1;16;17319
1;17;17414
1;18;17832
1;19;18387
1;20;18478
1;21;18958
1;22;18971
1;23;19007
1;24;19033
1;25;19061
1;26;19075
1;27;19105
1;28;19106
1;29;19155
1;30;19164
1;31;19184
1;32;19187
1;33;19191
1;34;19193
1;35;19205
2;1;11130
2;2;11156
2;3;11732
2;4;12347
2;5;12916
2;6;13429
2;7;13885
2;8;14412
2;9;15042
2;10;15137
2;11;15659
2;12;16282
2;13;16869
2;14;17420
2;15;17842
2;16;17931
2;17;18044
2;18;18152
2;19;18181
2;20;18779
2;21;18843
2;22;18956
2;23;19049
2;24;19058
2;25;19091
2;26;19092
2;27;19103
2;28;19112
2;29;19114
2;30;19115
2;31;19126
3;1;12134
3;2;12626
3;3;13037
3;4;13602
3;5;14041
3;6;14154
3;7;14271
3;8;14660
3;9;15231
3;10;15389
3;11;15503
3;12;15529
3;13;15625
3;14;15964
3;15;16521
3;16;17006
3;17;17604
3;18;17718
3;19;17767
3;20;17884
3;21;17895
3;22;18253
3;23;18370
3;24;18411
3;25;18449
3;26;18508
3;27;18970
3;28;19095
3;29;19117
3;30;19126
4;1;10840
4;2;10954
4;3;11552
4;4;12123
4;5;12699
4;6;12719
4;7;13233
4;8;13647
4;9;14122
4;10;14213
4;11;14592
4;12;14705
4;13;14706
4;14;15198
4;15;15777
4;16;15818
4;17;16307
4;18;16318
4;19;16887
4;20;16897
4;21;16992
4;22;17466
4;23;17579
4;24;17737
4;25;17763
4;26;17812
4;27;17882
4;28;17901
4;29;18264
4;30;18268
4;31;18270
4;32;18797
4;33;18825
4;34;18871
4;35;18930
4;36;18991
4;37;19104
4;38;19135
5;1;9797
5;2;10373
5;3;10404
5;4;10955
5;5;11559
5;6;11676
5;7;12149
5;8;12550
5;9;13152
5;10;13739
5;11;14213
5;12;14546
5;13;14654
5;14;15224
5;15;15320
5;16;15404
5;17;15850
5;18;16455
5;19;16507
5;20;17105
5;21;17218
5;22;17343
5;23;17912
5;24;18248
5;25;18365
5;26;18396
5;27;18469
5;28;18481
5;29;18516
5;30;18566
5;31;18895
5;32;19008
5;33;19057
5;34;19117
5;35;19155
6;1;13174
6;2;13203
6;3;13252
6;4;13302
6;5;13415
6;6;13926
6;7;13947
6;8;14401
6;9;14977
6;10;15026
6;11;15413
6;12;16028
6;13;16049
6;14;16080
6;15;16205
6;16;16714
6;17;16784
6;18;17285
6;19;17311
6;20;17419
6;21;17469
6;22;17486
6;23;17832
6;24;17949
6;25;18324
6;26;18366
6;27;18386
6;28;18908
6;29;19003
6;30;19007
6;31;19038
6;32;19066
6;33;19162
6;34;19183
6;35;19190
6;36;19191
6;37;19193
6;38;19205
7;1;12826
7;2;13377
7;3;13875
7;4;14388
7;5;14505
7;6;15076
7;7;15136
7;8;15658
7;9;16150
7;10;16646
7;11;17222
7;12;17253
7;13;17274
7;14;17626
7;15;17720
7;16;17833
7;17;18285
7;18;18402
7;19;18456
7;20;18476
7;21;18909
7;22;18927
7;23;18987
7;24;19098
7;25;19121
7;26;19133
7;27;19135
8;1;14340
8;2;14882
8;3;15393
8;4;15867
8;5;15880
8;6;16495
8;7;16526
8;8;16554
8;9;16684
8;10;16744
8;11;17142
8;12;17188
8;13;17205
8;14;17776
8;15;17881
8;16;17977
8;17;17998
8;18;18459
8;19;18873
8;20;18904
8;21;18999
8;22;19112
8;23;19134
8;24;19175
8;25;19205
9;1;11201
9;2;11674
9;3;11787
9;4;12321
9;5;12750
9;6;13075
9;7;13186
9;8;13300
9;9;13349
9;10;13377
9;11;13430
9;12;13894
9;13;14379
9;14;14470
9;15;14520
9;16;14540
9;17;14984
9;18;15006
9;19;15530
9;20;16003
9;21;16574
9;22;16611
9;23;16656
9;24;17271
9;25;17678
9;26;18055
9;27;18084
9;28;18143
9;29;18208
9;30;18731
9;31;18749
9;32;18844
9;33;18935
9;34;18951
9;35;18977
9;36;19026
9;37;19085
9;38;19114
9;39;19126
9;40;19152
9;41;19175
9;42;19184
9;43;19192
9;44;19213
10;1;10668
10;2;11329
10;3;11933
10;4;12289
10;5;12348
10;6;12899
10;7;12991
10;8;13282
10;9;13336
10;10;13938
10;11;13966
10;12;14015
10;13;14046
10;14;14473
10;15;14590
10;16;15114
10;17;15272
10;18;15723
10;19;16299
10;20;16306
10;21;16337
10;22;16788
10;23;16809
10;24;17261
10;25;17324
10;26;17335
10;27;17353
10;28;17412
10;29;17856
10;30;17914
10;31;17943
10;32;17953
10;33;18215
10;34;18250
10;35;18363
10;36;18480
10;37;18492
10;38;18510
10;39;18976
10;40;19025
10;41;19085
10;42;19109
10;43;19110
10;44;19136
10;45;19147
10;46;19162
10;47;19205
11;1;9922
11;2;9953
11;3;10428
11;4;10970
11;5;11546
11;6;12007
11;7;12058
11;8;12087
11;9;12656
11;10;13225
11;11;13333
11;12;13900
11;13;13950
11;14;13991
11;15;14022
11;16;14104
11;17;14517
11;18;14520
11;19;14965
11;20;14996
11;21;15024
11;22;15088
11;23;15431
11;24;15449
11;25;15971
11;26;16546
11;27;16577
11;28;17164
11;29;17259
11;30;17372
11;31;17778
11;32;17827
11;33;18157
11;34;18177
11;35;18268
11;36;18328
11;37;18356
11;38;18469
11;39;18594
11;40;18992
11;41;19105
11;42;19140
11;43;19183
11;44;19184
11;45;19188
11;46;19191
11;47;19193
11;48;19205
12;1;11631
12;2;12145
12;3;12714
12;4;13227
12;5;13776
12;6;13872
12;7;14502
12;8;14858
12;9;14975
12;10;15010
12;11;15039
12;12;15614
12;13;15620
12;14;16124
12;15;16695
12;16;16791
12;17;17155
12;18;17184
12;19;17279
12;20;17709
12;21;17805
12;22;17869
12;23;18267
12;24;18300
12;25;18396
12;26;18491
12;27;18982
12;28;18988
12;29;18995
12;30;19054
12;31;19066
12;32;19151
12;33;19162
12;34;19170
12;35;19192
12;36;19213
13;1;11512
13;2;12108
13;3;12119
13;4;12215
13;5;12310
13;6;12768
13;7;13224
13;8;13775
13;9;13801
13;10;14333
13;11;14392
13;12;14403
13;13;14856
13;14;15318
13;15;15402
13;16;15938
13;17;16518
13;18;16577
13;19;16673
13;20;16791
13;21;16858
13;22;16886
13;23;17449
13;24;17484
13;25;17853
13;26;18325
13;27;18380
13;28;18429
13;29;18455
13;30;18514
13;31;18574
13;32;18852
13;33;18853
13;34;18918
13;35;18976
13;36;19016
13;37;19021
13;38;19112
13;39;19140
13;40;19147
