run_id;startPoints;endPoints
1;12199;19205
2;11130;19126
3;12134;19126
4;10840;19135
5;9797;19155
6;13174;19205
7;12826;19135
8;14340;19205
9;11201;19213
10;10668;19205
11;9922;19205
12;11631;19213
13;11512;19213
14;13872;19213
15;12845;19126
16;13774;19127
17;13549;19213
18;14451;19127
19;12839;19155
20;12628;19164
21;10626;19135
22;12067;19205
23;12100;19213
24;11918;19205
25;12743;19164
26;13512;19135
27;12563;19213
28;11910;19135
29;10932;19213
30;11678;19164
31;13804;19136
32;10441;19213
33;14438;19136
34;12062;19135
35;13733;19155
36;13556;19205
37;13666;19164
38;11589;19135
39;10374;19155
40;11579;19205
41;14426;19155
42;11114;19213
43;12286;19213
44;12488;19213
45;13542;19126
46;13009;19205
47;9020;19136
48;13619;19155
49;13944;19205
50;12815;19164
51;12072;19135
52;12410;19136
53;12080;19205
54;9961;19213
55;11284;19135
56;13132;19135
57;13249;19127
58;12931;19205
59;14293;19164
60;11173;19155
61;12664;19205
62;11811;19126
63;13720;19164
64;12098;19205
65;13131;19135
66;14189;19205
67;11471;19136
68;10782;19135
69;12206;19213
70;13905;19205
71;12271;19213
72;12276;19135
73;12240;19155
74;12698;19213
75;12754;19136
76;12064;19127
77;13286;19213
78;13512;19205
79;13116;19213
80;13684;19164
81;12764;19126
82;12187;19136
83;14488;19155
84;12537;19135
85;11230;19135
86;13223;19155
87;13196;19205
88;10927;19213
89;13783;19136
90;11770;19205
91;10963;19213
92;11859;19205
93;13201;19127
94;11790;19136
95;10569;19126
96;14822;19127
97;10880;19127
98;15413;19205
99;13049;19136
100;11500;19164
101;13355;19213
102;11893;19205
103;11848;19213
104;14094;19205
105;13411;19126
106;13161;19205
107;12580;19213
108;11426;19205
109;14664;19127
110;12017;19155
111;11692;19127
112;10302;19213
113;12917;19136
114;10466;19205
115;13734;19213
116;12492;19205
117;11822;19126
118;13173;19205
119;13331;19136
120;10576;19164
121;13139;19213
122;13859;19213
123;13306;19135
124;15258;19213
125;12072;19205
126;10279;19213
127;9077;19164
128;13647;19136
129;10653;19205
130;12284;19136
131;13113;19126
132;13288;19135
133;11441;19213
134;11971;19136
135;11310;19213
136;11228;19205
137;13437;19135
138;14704;19205
139;16002;19213
140;13297;19155
141;13795;19164
142;11132;19136
143;14622;19135
144;10497;19164
145;13504;19205
146;13277;19127
147;12294;19135
148;13500;19213
149;13157;19213
150;13949;19213
151;13259;19213
152;13061;19205
153;12285;19205
154;13239;19136
155;11911;19205
156;13215;19127
157;13663;19155
158;12737;19135
159;13491;19136
160;14209;19213
161;13757;19164
162;13669;19136
163;12820;19205
164;9448;19155
