variant;run;score;time_ms;iterations;states
beamSearchFast;1;17110;4154.722;13.0;13000
beamSearchFast;2;17125;3389.290;15.0;15000
beamSearchFast;3;17100;3197.352;14.0;14000
beamSearchFast;4;17038;2594.075;11.0;11000
beamSearchFast;5;17091;3637.283;17.0;17000
beamSearchFast;6;17166;4778.144;17.0;17000
beamSearchFast;7;17134;4717.089;19.0;19000
beamSearchFast;8;17039;3201.626;12.0;12000
beamSearchFast;9;17158;3429.250;14.0;14000
beamSearchFast;10;16992;2929.506;11.0;11000
beamSearchFast;11;17025;3254.098;13.0;13000
beamSearchFast;12;17079;3294.699;13.0;13000
beamSearchFast;13;17172;3857.039;17.0;17000
beamSearchFast;14;17181;3851.428;17.0;17000
beamSearchFast;15;17087;3935.153;18.0;18000
beamSearchFast;16;17042;3381.956;13.0;13000
beamSearchFast;17;17023;2677.441;9.0;9000
beamSearchFast;18;17014;3103.493;12.0;12000
beamSearchFast;19;17070;3589.334;15.0;15000
beamSearchFast;20;16941;2411.771;8.0;8000
beamSearchFast;21;17038;3175.582;11.0;11000
beamSearchFast;22;16913;2582.936;9.0;9000
beamSearchFast;23;17028;2488.810;8.0;8000
beamSearchFast;24;17062;3254.645;10.0;10000
beamSearchFast;25;17109;4935.888;19.0;19000
beamSearchFast;26;16989;3609.859;12.0;12000
beamSearchFast;27;17021;3574.354;12.0;12000
beamSearchFast;28;17119;3188.325;12.0;12000
beamSearchFast;29;17030;3956.733;13.0;13000
beamSearchFast;30;17161;4491.691;16.0;16000
