variant;run;score;time_ms;iterations;states
beamSearch;1;16630;286.262;12.0;1413
beamSearch;2;16847;248.263;12.0;3213
beamSearch;3;16870;469.265;12.0;6213
beamSearch;4;16856;367.907;12.0;8613
beamSearch;5;16784;520.920;12.0;11213
beamSearch;6;16824;222.048;12.0;13213
beamSearch;7;16750;336.913;12.0;15813
beamSearch;8;16252;397.168;12.0;18413
beamSearch;9;16206;344.766;12.0;21013
beamSearch;10;16991;495.195;12.0;24613
beamSearch;11;16901;292.790;12.0;26613
beamSearch;12;16216;346.154;12.0;29013
beamSearch;13;16324;440.052;12.0;32013
beamSearch;14;16510;236.797;12.0;33613
beamSearch;15;16887;342.369;12.0;36013
beamSearch;16;16747;291.654;12.0;37813
beamSearch;17;17042;363.709;12.0;40413
beamSearch;18;16255;353.865;12.0;43013
beamSearch;19;16698;377.823;12.0;45613
beamSearch;20;16718;361.661;12.0;48213
beamSearch;21;16704;301.181;12.0;50413
beamSearch;22;16171;302.509;12.0;52613
beamSearch;23;16737;471.434;12.0;55613
beamSearch;24;16310;277.172;12.0;57413
beamSearch;25;16956;356.141;12.0;60013
beamSearch;26;16910;269.581;12.0;62013
beamSearch;27;16820;405.741;12.0;64813
beamSearch;28;16875;322.959;12.0;67413
beamSearch;29;16950;392.896;12.0;70413
beamSearch;30;16804;403.430;12.0;73413
