variant;run;score;time_ms;iterations;states
simulatedAnnealing;1;15688;691.939;918.0;917
simulatedAnnealing;2;15760;900.134;918.0;917
simulatedAnnealing;3;15774;504.120;918.0;917
simulatedAnnealing;4;15118;549.881;918.0;917
simulatedAnnealing;5;15659;521.271;918.0;917
simulatedAnnealing;6;16580;528.055;918.0;917
simulatedAnnealing;7;16214;533.623;918.0;917
simulatedAnnealing;8;16370;512.719;918.0;917
simulatedAnnealing;9;16258;540.589;918.0;917
simulatedAnnealing;10;16362;530.000;918.0;917
simulatedAnnealing;11;16357;573.636;918.0;917
simulatedAnnealing;12;15691;540.034;918.0;917
simulatedAnnealing;13;15713;533.773;918.0;917
simulatedAnnealing;14;15181;561.226;918.0;917
simulatedAnnealing;15;16252;535.422;918.0;917
simulatedAnnealing;16;16148;505.266;918.0;917
simulatedAnnealing;17;16524;523.714;918.0;917
simulatedAnnealing;18;15663;543.519;918.0;917
simulatedAnnealing;19;16741;505.901;918.0;917
simulatedAnnealing;20;16328;537.749;918.0;917
simulatedAnnealing;21;16503;522.939;918.0;917
simulatedAnnealing;22;15813;527.081;918.0;917
simulatedAnnealing;23;16786;498.028;918.0;917
simulatedAnnealing;24;16111;521.884;918.0;917
simulatedAnnealing;25;15818;554.814;918.0;917
simulatedAnnealing;26;16187;527.639;918.0;917
simulatedAnnealing;27;15744;523.261;918.0;917
simulatedAnnealing;28;16310;528.048;918.0;917
simulatedAnnealing;29;16299;533.037;918.0;917
simulatedAnnealing;30;15837;547.560;918.0;917
