variant;run;score;time_ms;iterations;states
standard;1;23133;3614.153;33.0;108400
standard;2;23114;3605.831;32.0;105374
standard;3;23083;3597.982;32.0;105490
standard;4;23191;3303.481;30.0;98993
standard;5;23173;3803.643;32.0;105292
standard;6;23127;4324.098;33.0;108638
standard;7;23137;3698.478;31.0;102173
standard;8;22940;3706.535;31.0;102100
standard;9;22923;3477.328;30.0;98936
standard;10;22872;3617.305;31.0;101949
standard;11;23086;3790.426;33.0;108582
standard;12;23110;3736.371;32.0;105505
standard;13;22994;3817.779;33.0;108507
standard;14;23217;3898.800;34.0;111843
standard;15;22833;3854.869;33.0;108353
standard;16;23033;3535.010;31.0;102201
standard;17;23088;3848.561;33.0;108434
standard;18;23108;3670.611;32.0;105221
standard;19;23124;3838.143;33.0;108465
standard;20;23328;3766.585;32.0;105352
standard;21;23136;3892.693;33.0;108467
standard;22;23127;3934.086;32.0;105291
standard;23;23139;3906.643;32.0;105339
standard;24;23268;4083.785;35.0;114780
standard;25;23041;3512.978;30.0;98951
standard;26;23010;3395.815;30.0;98808
standard;27;23293;3904.903;35.0;114852
standard;28;23221;3815.325;34.0;111675
standard;29;23228;3624.909;33.0;108539
standard;30;23016;3611.446;32.0;105277
