variant;run;score;time_ms;iterations;states
standard;1;23099;32.643;17.0;508
standard;2;22939;23.948;14.0;500
standard;3;23041;34.272;18.0;529
standard;4;23006;42.812;17.0;822
standard;5;23099;50.052;23.0;1049
standard;6;23130;37.780;23.0;759
standard;7;23151;44.005;24.0;1080
standard;8;23107;52.521;32.0;1242
standard;9;23200;24.787;18.0;597
standard;10;23113;31.285;17.0;630
standard;11;22945;11.896;21.0;709
standard;12;23126;12.931;23.0;802
standard;13;23121;15.182;24.0;858
standard;14;23148;13.287;26.0;926
standard;15;23137;14.006;21.0;1112
standard;16;22904;19.788;15.0;834
standard;17;23219;7.312;17.0;661
standard;18;23145;12.275;17.0;634
standard;19;23219;12.473;25.0;979
standard;20;23332;7.542;21.0;623
standard;21;23276;5.539;19.0;581
standard;22;23119;21.057;20.0;737
standard;23;23189;19.689;27.0;861
standard;24;23028;31.570;21.0;1151
standard;25;22990;18.061;23.0;916
standard;26;23059;11.082;21.0;898
standard;27;22998;6.379;16.0;530
standard;28;23172;15.104;25.0;904
standard;29;22932;9.394;16.0;562
standard;30;23144;7.942;22.0;680
