variant;run;score;time_ms;iterations;states
standardFast;1;16259;5.759;12.0;569
standardFast;2;16836;9.776;17.0;706
standardFast;3;16938;4.082;20.0;742
standardFast;4;15387;2.607;13.0;607
standardFast;5;16765;7.821;17.0;609
standardFast;6;15623;9.199;14.0;560
standardFast;7;16356;25.579;12.0;464
standardFast;8;16185;11.176;12.0;532
standardFast;9;16305;7.091;10.0;431
standardFast;10;16846;3.276;12.0;473
standardFast;11;16643;3.831;14.0;518
standardFast;12;16169;6.528;17.0;672
standardFast;13;16157;5.203;14.0;432
standardFast;14;16206;4.809;9.0;340
standardFast;15;16329;8.611;15.0;596
standardFast;16;16721;4.408;11.0;357
standardFast;17;15671;3.062;7.0;291
standardFast;18;16136;4.299;14.0;652
standardFast;19;16236;3.520;13.0;550
standardFast;20;16457;4.056;15.0;534
standardFast;21;16689;4.691;14.0;416
standardFast;22;16884;3.156;14.0;482
standardFast;23;16780;7.746;14.0;488
standardFast;24;16353;7.934;13.0;650
standardFast;25;16172;2.254;9.0;305
standardFast;26;16557;2.086;9.0;280
standardFast;27;16039;7.066;13.0;584
standardFast;28;16469;2.716;10.0;325
standardFast;29;15007;3.806;10.0;369
standardFast;30;16858;3.916;12.0;456
