run_id;iteration;points
1;1;11894
1;2;12399
1;3;12887
1;4;13339
1;5;13777
1;6;14155
1;7;14342
1;8;14428
1;9;14503
1;10;14566
1;11;14625
1;12;14651
1;13;14651
2;1;13117
2;2;13622
2;3;14039
2;4;14418
2;5;14777
2;6;15130
2;7;15222
2;8;15308
2;9;15367
2;10;15399
2;11;15427
2;12;15427
3;1;12284
3;2;12802
3;3;13254
3;4;13674
3;5;14078
3;6;14457
3;7;14569
3;8;14661
3;9;14736
3;10;14792
3;11;15277
3;12;15328
3;13;15361
3;14;15388
3;15;15412
3;16;15425
3;17;15430
3;18;15430
4;1;10211
4;2;10755
4;3;11260
4;4;11735
4;5;12208
4;6;12676
4;7;13141
4;8;13584
4;9;14023
4;10;14382
4;11;14735
4;12;14828
4;13;14903
4;14;14959
4;15;15026
4;16;15063
4;17;15063
5;1;10820
5;2;11364
5;3;11880
5;4;12372
5;5;12824
5;6;13267
5;7;13697
5;8;14114
5;9;14518
5;10;14917
5;11;15270
5;12;15345
5;13;15377
5;14;15396
5;15;15482
5;16;15499
5;17;15515
5;18;15515
6;1;11448
6;2;11921
6;3;12377
6;4;12820
6;5;13258
6;6;13678
6;7;14095
6;8;14494
6;9;14872
6;10;15059
6;11;15152
6;12;15238
6;13;15305
6;14;15379
6;15;15424
6;16;15457
6;17;15483
6;18;15509
6;19;15527
6;20;15544
6;21;15544
7;1;10272
7;2;10788
7;3;11298
7;4;11803
7;5;12273
7;6;12741
7;7;13206
7;8;13654
7;9;14084
7;10;14488
7;11;14867
7;12;14953
7;13;15016
7;14;15049
7;15;15070
7;16;15089
7;17;15089
8;1;11936
8;2;12406
8;3;12871
8;4;13323
8;5;13771
8;6;14188
8;7;14592
8;8;14779
8;9;14844
8;10;14895
8;11;14928
8;12;14955
8;13;15000
8;14;15025
8;15;15025
9;1;11074
9;2;11579
9;3;12047
9;4;12512
9;5;12956
9;6;13394
9;7;13773
9;8;14126
9;9;14471
9;10;14658
9;11;14753
9;12;14812
9;13;14868
9;14;14943
9;15;14988
9;16;15025
9;17;15030
9;18;15089
9;19;15089
10;1;11331
10;2;11872
10;3;12364
10;4;12832
10;5;13271
10;6;13696
10;7;14116
10;8;14533
10;9;14645
10;10;14740
10;11;14791
10;12;14838
10;13;14866
10;14;14893
10;15;14893
11;1;10895
11;2;11405
11;3;11910
11;4;12398
11;5;12866
11;6;13307
11;7;13737
11;8;14154
11;9;14533
11;10;14886
11;11;15073
11;12;15168
11;13;15254
11;14;15301
11;15;15332
11;16;15388
11;17;15415
11;18;15432
11;19;15437
11;20;15479
11;21;15479
12;1;11255
12;2;11743
12;3;12228
12;4;12701
12;5;13169
12;6;13625
12;7;14077
12;8;14494
12;9;14911
12;10;15098
12;11;15149
12;12;15196
12;13;15227
12;14;15264
12;15;15294
12;16;15313
12;17;15330
12;18;15343
12;19;15343
13;1;12167
13;2;12606
13;3;13044
13;4;13461
13;5;13865
13;6;14244
13;7;14597
13;8;14698
13;9;14772
13;10;14839
13;11;14902
13;12;14935
13;13;14967
13;14;14993
13;15;14998
13;16;14998
14;1;12508
14;2;13033
14;3;13546
14;4;13966
14;5;14383
14;6;14736
14;7;14831
14;8;14917
14;9;14968
14;10;14995
14;11;15019
14;12;15035
14;13;15040
14;14;15040
15;1;9614
15;2;10139
15;3;10657
15;4;11145
15;5;11618
15;6;12083
15;7;12535
15;8;12973
15;9;13403
15;10;13829
15;11;14254
15;12;14658
15;13;15011
15;14;15112
15;15;15207
15;16;15266
15;17;15313
15;18;15355
15;19;15386
15;20;15405
15;21;15421
15;22;15435
15;23;15435
16;1;11290
16;2;11803
16;3;12313
16;4;12818
16;5;13270
16;6;13693
16;7;14110
16;8;14463
16;9;14650
16;10;14745
16;11;14831
16;12;14898
16;13;14961
16;14;14994
16;15;15026
16;16;15057
16;17;15070
16;18;15070
17;1;10858
17;2;11346
17;3;11784
17;4;12214
17;5;12640
17;6;13063
17;7;13483
17;8;13900
17;9;14314
17;10;14713
17;11;15075
17;12;15187
17;13;15288
17;14;15383
