variant;run;score;time_ms;iterations;states
standard;1;23157;148.426;31.0;32
standard;2;22835;78.455;31.0;32
standard;3;23144;82.103;34.0;35
standard;4;23045;41.936;33.0;34
standard;5;23191;64.404;35.0;36
standard;6;23260;59.623;33.0;34
standard;7;23072;55.775;32.0;33
standard;8;23249;62.883;34.0;35
standard;9;23053;64.206;33.0;34
standard;10;23212;31.553;33.0;34
standard;11;23258;65.640;33.0;34
standard;12;23079;45.753;32.0;33
standard;13;23106;92.016;31.0;32
standard;14;23163;57.852;33.0;34
standard;15;23098;57.756;31.0;32
standard;16;23118;46.196;33.0;34
standard;17;23268;49.590;34.0;35
standard;18;23112;40.817;32.0;33
standard;19;23264;54.839;38.0;39
standard;20;23066;38.946;32.0;33
standard;21;23084;73.070;33.0;34
standard;22;23021;41.071;33.0;34
standard;23;23136;41.279;32.0;33
standard;24;23296;57.179;31.0;32
standard;25;23194;40.802;34.0;35
standard;26;23049;60.220;33.0;34
standard;27;23259;60.231;32.0;33
standard;28;22919;65.331;32.0;33
standard;29;22976;53.734;33.0;34
standard;30;23180;54.141;33.0;34
standard;31;23167;62.052;32.0;33
standard;32;23097;32.317;30.0;31
standard;33;23079;52.321;29.0;30
standard;34;23102;44.910;35.0;36
standard;35;23137;38.213;33.0;34
standard;36;22998;37.483;33.0;34
standard;37;23053;42.583;31.0;32
standard;38;23047;38.646;32.0;33
standard;39;23191;36.809;33.0;34
standard;40;23022;42.455;31.0;32
standard;41;23277;57.648;34.0;35
standard;42;22989;35.924;34.0;35
standard;43;23129;59.735;32.0;33
standard;44;23006;41.253;32.0;33
standard;45;23219;58.619;33.0;34
standard;46;23075;40.578;31.0;32
standard;47;23178;52.656;31.0;32
standard;48;23059;59.693;34.0;35
standard;49;23085;44.380;34.0;35
standard;50;23032;55.197;32.0;33
standard;51;23132;55.660;33.0;34
standard;52;23127;38.464;31.0;32
standard;53;23137;37.129;33.0;34
standard;54;23045;81.816;32.0;33
standard;55;23109;46.333;32.0;33
standard;56;23020;40.926;32.0;33
standard;57;23124;63.758;36.0;37
standard;58;23233;45.036;32.0;33
standard;59;23236;39.660;32.0;33
standard;60;23182;58.646;32.0;33
standard;61;23037;34.662;31.0;32
standard;62;22984;57.664;29.0;30
standard;63;23313;60.776;34.0;35
standard;64;23082;56.099;32.0;33
standard;65;23199;46.696;35.0;36
standard;66;23019;53.531;30.0;31
