variant;run;score;time_ms;iterations;states
temp10shaved50Annealing;1;19109;1155.600;920.0;2953666
temp10shaved50Annealing;2;18971;837.304;920.0;2953666
temp10shaved50Annealing;3;19204;921.866;920.0;2953666
temp10shaved50Annealing;4;19030;946.198;920.0;2953666
temp10shaved50Annealing;5;19023;942.821;920.0;2953666
temp10shaved50Annealing;6;19169;918.549;920.0;2953666
temp10shaved50Annealing;7;19042;959.302;920.0;2953666
temp10shaved50Annealing;8;19195;775.982;920.0;2953666
temp10shaved50Annealing;9;19065;909.530;920.0;2953666
temp10shaved50Annealing;10;19138;893.817;920.0;2953666
temp10shaved50Annealing;11;19171;892.803;920.0;2953666
temp10shaved50Annealing;12;19204;858.459;920.0;2953666
temp10shaved50Annealing;13;19192;841.665;920.0;2953666
temp10shaved50Annealing;14;19073;819.807;920.0;2953666
temp10shaved50Annealing;15;19073;817.587;920.0;2953666
temp10shaved50Annealing;16;19128;877.250;920.0;2953666
temp10shaved50Annealing;17;19181;875.051;920.0;2953666
temp10shaved50Annealing;18;19161;882.670;920.0;2953666
temp10shaved50Annealing;19;19073;814.234;920.0;2953666
temp10shaved50Annealing;20;19121;833.558;920.0;2953666
temp10shaved50Annealing;21;19171;983.537;920.0;2953666
temp10shaved50Annealing;22;19126;753.354;920.0;2953666
temp10shaved50Annealing;23;19040;740.569;920.0;2953666
temp10shaved50Annealing;24;18990;834.133;920.0;2953666
temp10shaved50Annealing;25;19070;605.634;920.0;2953666
temp10shaved50Annealing;26;19033;619.539;920.0;2953666
temp10shaved50Annealing;27;19204;699.883;920.0;2953666
temp10shaved50Annealing;28;19193;668.226;920.0;2953666
temp10shaved50Annealing;29;19172;866.517;920.0;2953666
temp10shaved50Annealing;30;19145;824.311;920.0;2953666
