variant;run;score;time_ms;iterations;states
temp10shaved50Annealing;1;19049;342.771;100.0;318186
temp10shaved50Annealing;2;18948;160.921;100.0;318186
temp10shaved50Annealing;3;19021;116.776;100.0;318186
temp10shaved50Annealing;4;18983;84.546;100.0;318186
temp10shaved50Annealing;5;19121;57.805;100.0;318186
temp10shaved50Annealing;6;19204;89.363;100.0;318186
temp10shaved50Annealing;7;19066;70.235;100.0;318186
temp10shaved50Annealing;8;18951;72.145;100.0;318186
temp10shaved50Annealing;9;18982;75.086;100.0;318186
temp10shaved50Annealing;10;19006;48.258;100.0;318186
temp10shaved50Annealing;11;19151;52.168;100.0;318186
temp10shaved50Annealing;12;19161;100.042;100.0;318186
temp10shaved50Annealing;13;18999;57.966;100.0;318186
temp10shaved50Annealing;14;19146;52.504;100.0;318186
temp10shaved50Annealing;15;19181;76.371;100.0;318186
temp10shaved50Annealing;16;19032;75.148;100.0;318186
temp10shaved50Annealing;17;19065;71.960;100.0;318186
temp10shaved50Annealing;18;19033;73.071;100.0;318186
temp10shaved50Annealing;19;19021;59.820;100.0;318186
temp10shaved50Annealing;20;19095;78.847;100.0;318186
temp10shaved50Annealing;21;18982;75.140;100.0;318186
temp10shaved50Annealing;22;19171;75.022;100.0;318186
temp10shaved50Annealing;23;19204;75.204;100.0;318186
temp10shaved50Annealing;24;18991;56.853;100.0;318186
temp10shaved50Annealing;25;19021;50.838;100.0;318186
temp10shaved50Annealing;26;19021;70.629;100.0;318186
temp10shaved50Annealing;27;19103;55.795;100.0;318186
temp10shaved50Annealing;28;19189;66.208;100.0;318186
temp10shaved50Annealing;29;19068;62.660;100.0;318186
temp10shaved50Annealing;30;19155;59.651;100.0;318186
