variant;run;score;time_ms;iterations;states
temp1shaved10Annealing;1;22942;12553.465;100.0;318186
temp1shaved10Annealing;2;23022;11082.146;100.0;318186
temp1shaved10Annealing;3;22866;11279.220;100.0;318186
temp1shaved10Annealing;4;23146;11817.297;100.0;318186
temp1shaved10Annealing;5;22709;10640.738;100.0;318186
temp1shaved10Annealing;6;22912;10699.239;100.0;318186
temp1shaved10Annealing;7;22855;11701.723;100.0;318186
temp1shaved10Annealing;8;22953;12015.591;100.0;318186
temp1shaved10Annealing;9;22963;10787.768;100.0;318186
temp1shaved10Annealing;10;23011;10759.334;100.0;318186
temp1shaved10Annealing;11;23014;10544.891;100.0;318186
temp1shaved10Annealing;12;23014;11445.201;100.0;318186
temp1shaved10Annealing;13;23186;10454.233;100.0;318186
temp1shaved10Annealing;14;22513;11166.632;100.0;318186
temp1shaved10Annealing;15;22809;11197.515;100.0;318186
temp1shaved10Annealing;16;23048;10617.133;100.0;318186
temp1shaved10Annealing;17;22819;10507.126;100.0;318186
temp1shaved10Annealing;18;22994;10589.343;100.0;318186
temp1shaved10Annealing;19;22918;10622.210;100.0;318186
temp1shaved10Annealing;20;23082;10609.367;100.0;318186
temp1shaved10Annealing;21;23037;10576.415;100.0;318186
temp1shaved10Annealing;22;22731;10604.744;100.0;318186
temp1shaved10Annealing;23;22785;10578.707;100.0;318186
temp1shaved10Annealing;24;22969;10849.555;100.0;318186
temp1shaved10Annealing;25;22925;11099.804;100.0;318186
temp1shaved10Annealing;26;22802;10742.359;100.0;318186
temp1shaved10Annealing;27;22931;10481.117;100.0;318186
temp1shaved10Annealing;28;22930;10485.978;100.0;318186
temp1shaved10Annealing;29;22865;10429.013;100.0;318186
temp1shaved10Annealing;30;22982;10488.304;100.0;318186
