Stroke,Distance,Men_Time,Men_Seconds,Women_Time,Women_Seconds
Freestyle,50m,0:19.90,19.90,0:22.83,22.83
Freestyle,100m,0:44.84,44.84,0:50.25,50.25
Freestyle,200m,1:38.61,98.61,1:50.31,110.31
Freestyle,400m,3:32.25,212.25,3:50.25,230.25
Freestyle,800m,7:20.46,440.46,7:57.42,477.42
Freestyle,1500m,14:06.88,846.88,15:08.24,908.24
Backstroke,50m,0:22.11,22.11,0:25.23,25.23
Backstroke,100m,0:48.33,48.33,0:54.02,54.02
Backstroke,200m,1:45.63,105.63,1:58.04,118.04
Breaststroke,50m,0:24.95,24.95,0:28.37,28.37
Breaststroke,100m,0:55.28,55.28,1:02.36,62.36
Breaststroke,200m,2:00.16,120.16,2:12.50,132.50
Butterfly,50m,0:21.32,21.32,0:23.94,23.94
Butterfly,100m,0:47.71,47.71,0:52.71,52.71
Butterfly,200m,1:46.85,106.85,1:59.32,119.32
Medley,100m,0:49.28,49.28,0:55.11,55.11
Medley,200m,1:48.88,108.88,2:01.63,121.63
Medley,400m,3:54.81,234.81,4:15.48,255.48
