Number;Event;Gender
01;100Lg;f
02;100Lg;m
03;200K;f
04;200K;m
05;100B;f
06;100B;m
07;200R;f
08;200R;m
09;100S;f
10;100S;m
11;50B;f
12;50B;m
13;200Lg;f
14;200Lg;m
15;800K;f
16;1500K;m
17;50S;f
18;50S;m
19;200B;f
20;200B;m
21;100R;f
22;100R;m
23;200S;f
24;200S;m
25;50K;f
26;50K;m
27;400Lg;f
28;400Lg;m
29;50R;f
30;50R;m
31;400K;f
32;400K;m
33;100K;f
34;100K;m
00;BREAK;60
35;100Lg;f
36;100Lg;m
37;200K;f
38;200K;m
39;100B;f
40;100B;m
41;200R;f
42;200R;m
43;100S;f
44;100S;m
45;50B;f
46;50B;m
47;200Lg;f
48;200Lg;m
49;1500K;f
50;800K;m
51;50S;f
52;50S;m
53;200B;f
54;200B;m
55;100R;f
56;100R;m
57;200S;f
58;200S;m
59;50K;f
60;50K;m
61;400Lg;f
62;400Lg;m
63;50R;f
64;50R;m
65;400K;f
66;400K;m
67;100K;f
68;100K;m
